Time / Date,Area,Description,Device
2023-09-27 오전 12:55,LP01,Zone 01 is stopped. LPF Digital Alarm,LP01
2023-09-27 오전 12:53,LP01,System is stopped Digital Alarm,LP01
2023-09-27 오전 12:53,LP01,Request for access for the LPF is requested or accepted Digital Alarm,LP01
2023-09-27 오전 12:53,LP01,in manual from HMI panel Digital Alarm,LP01
2023-09-27 오전 12:53,LP01,[Sensor]Lift head sensor 1 not activated Digital Alarm,LP01
2023-09-27 오전 12:53,LP01,[Sensor]Light grid activated Digital Alarm,LP01
2023-09-27 오전 12:53,LP01,in manual from HMI panel Digital Alarm,LP01
2023-09-27 오전 12:53,LP01,Limit of measurement is exceeded on the short light grid (Overhang) Digital Alarm,LP01
2023-09-27 오전 12:52,LP01,[Sensor]Lift head sensor 1 not activated Digital Alarm,LP01
2023-09-27 오전 12:52,LP01,[Sensor]Light grid activated Digital Alarm,LP01
2023-09-27 오전 12:52,LP01,in manual from HMI panel Digital Alarm,LP01
2023-09-27 오전 12:47,LP01,Limit of measurement is exceeded on the short light grid (Overhang) Digital Alarm,LP01
2023-09-26 오후 11:01,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
2023-09-26 오후 10:54,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
2023-09-26 오후 10:41,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
2023-09-26 오후 10:29,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
2023-09-26 오후 10:18,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
2023-09-26 오후 10:14,LP01,in manual from Robot Digital Alarm,LP01
2023-09-26 오후 10:11,LP01,in manual from Robot Digital Alarm,LP01
2023-09-26 오후 10:10,LP01,Timeout - Skirt not in position within the specified time Digital Alarm,LP01
2023-09-26 오후 10:10,LP01,[Sensor]Lift head sensor 1 not activated Digital Alarm,LP01
2023-09-26 오후 10:10,LP01,[Sensor]Light grid activated Digital Alarm,LP01
2023-09-26 오후 10:10,LP01,in manual from Robot Digital Alarm,LP01
2023-09-26 오후 10:09,LP01,in manual from HMI panel Digital Alarm,LP01
2023-09-26 오후 10:06,LP01,System is stopped Digital Alarm,LP01
2023-09-26 오후 10:06,LP01,Emergency stop button on robot is activated Digital Alarm,LP01
2023-09-26 오후 10:06,LP01,Emergency stop from external system Digital Alarm,LP01
2023-09-26 오후 10:06,LP01,in manual from Robot Digital Alarm,LP01
2023-09-26 오후 10:06,LP01,Communication error with Robot Digital Alarm,LP01
2023-09-26 오후 10:05,LP01,Timeout - Skirt not in position within the specified time Digital Alarm,LP01
2023-09-26 오후 10:05,LP01,[Sensor]Lift head sensor 1 not activated Digital Alarm,LP01
2023-09-26 오후 10:05,LP01,[Sensor]Light grid activated Digital Alarm,LP01
2023-09-26 오후 10:04,LP01,in manual from HMI panel Digital Alarm,LP01
2023-09-26 오후 10:01,LP01,Timeout - Skirt not in position within the specified time Digital Alarm,LP01
2023-09-26 오후 10:01,LP01,[Sensor]Lift head sensor 1 not activated Digital Alarm,LP01
2023-09-26 오후 10:01,LP01,[Sensor]Light grid activated Digital Alarm,LP01
2023-09-26 오후 10:01,LP01,in manual from HMI panel Digital Alarm,LP01
2023-09-26 오후 9:59,LP01,Timeout - Skirt not in position within the specified time Digital Alarm,LP01
2023-09-26 오후 9:59,LP01,[Sensor]Lift head sensor 1 not activated Digital Alarm,LP01
2023-09-26 오후 9:59,LP01,[Sensor]Light grid activated Digital Alarm,LP01
2023-09-26 오후 9:59,LP01,in manual from HMI panel Digital Alarm,LP01
2023-09-26 오후 9:58,LP01,[Sensor]Lift head sensor 1 not activated Digital Alarm,LP01
2023-09-26 오후 9:58,LP01,[Sensor]Light grid activated Digital Alarm,LP01
2023-09-26 오후 9:58,LP01,Timeout - Skirt not in position within the specified time Digital Alarm,LP01
2023-09-26 오후 9:58,LP01,[Sensor]Lift head sensor 1 not activated Digital Alarm,LP01
2023-09-26 오후 9:58,LP01,[Sensor]Light grid activated Digital Alarm,LP01
2023-09-26 오후 9:58,LP01,in manual from HMI panel Digital Alarm,LP01
2023-09-26 오후 9:57,LP01,Timeout - Skirt not in position within the specified time Digital Alarm,LP01
2023-09-26 오후 9:57,LP01,[Sensor]Lift head sensor 1 not activated Digital Alarm,LP01
2023-09-26 오후 9:57,LP01,[Sensor]Light grid activated Digital Alarm,LP01
2023-09-26 오후 9:57,LP01,in manual from HMI panel Digital Alarm,LP01
2023-09-26 오후 9:44,LP01,Timeout - Skirt not in position within the specified time Digital Alarm,LP01
2023-09-26 오후 9:44,LP01,[Sensor]Lift head sensor 1 not activated Digital Alarm,LP01
2023-09-26 오후 9:44,LP01,[Sensor]Light grid activated Digital Alarm,LP01
2023-09-26 오후 9:44,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
2023-09-26 오후 9:43,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
2023-09-26 오후 9:42,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
2023-09-26 오후 9:30,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
2023-09-26 오후 8:54,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
2023-09-26 오후 8:51,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
2023-09-26 오후 8:46,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
2023-09-26 오후 8:35,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
2023-09-26 오후 8:34,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
2023-09-26 오후 8:18,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
2023-09-26 오후 8:14,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
2023-09-26 오후 8:10,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
2023-09-26 오후 8:07,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
2023-09-26 오후 8:02,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
2023-09-26 오후 7:57,LP01,[Sensor]Light grid activated Digital Alarm,LP01
2023-09-26 오후 7:55,LP01,[Robot]LG has been activated during move_Layer dropped Digital Alarm,LP01
2023-09-26 오후 7:31,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
2023-09-26 오후 7:27,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
2023-09-26 오후 7:25,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
2023-09-26 오후 7:04,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
2023-09-26 오후 7:01,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
2023-09-26 오후 6:56,LP01,[Robot]LG has been activated during move_Layer dropped Digital Alarm,LP01
2023-09-26 오후 6:53,LP01,Time out movement on robot Digital Alarm,LP01
2023-09-26 오후 6:52,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
2023-09-26 오후 6:49,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
2023-09-26 오후 6:28,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
2023-09-26 오후 6:15,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
2023-09-26 오후 6:12,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
2023-09-26 오후 6:10,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
2023-09-26 오후 6:09,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
2023-09-26 오후 6:08,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
2023-09-26 오후 6:07,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
2023-09-26 오후 6:05,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
2023-09-26 오후 6:04,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
2023-09-26 오후 5:58,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
2023-09-26 오후 5:51,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
2023-09-26 오후 5:50,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
2023-09-26 오후 5:46,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
2023-09-26 오후 5:43,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
2023-09-26 오후 5:41,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
2023-09-26 오후 5:30,LP01,Zone 01 is stopped. LPF Digital Alarm,LP01
2023-09-26 오후 5:30,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
2023-09-26 오후 5:30,LP01,System is stopped Digital Alarm,LP01
2023-09-26 오후 5:29,LP01,Request for access for the LPF is requested or accepted Digital Alarm,LP01
2023-09-26 오후 5:13,LP01,[Sensor]Light grid activated Digital Alarm,LP01
2023-09-26 오후 5:13,LP01,in manual from HMI panel Digital Alarm,LP01
2023-09-26 오후 5:12,LP01,[Robot]LG has been activated during move_Layer dropped Digital Alarm,LP01
2023-09-26 오후 4:55,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
2023-09-26 오후 4:54,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
2023-09-26 오후 4:51,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
2023-09-26 오후 4:49,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
2023-09-26 오후 4:40,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
2023-09-26 오후 4:39,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
2023-09-26 오후 4:32,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
2023-09-26 오후 4:29,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
2023-09-26 오후 4:18,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
2023-09-26 오후 4:10,LP01,Vacuum is not turned off Digital Alarm,LP01
2023-09-26 오후 4:10,LP01,Bellows are inflated Digital Alarm,LP01
2023-09-26 오후 4:08,LP01,Distance to deposit pallet is too high - Drop it? Digital Alarm,LP01
2023-09-26 오후 4:06,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
2023-09-26 오후 4:01,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
