,Time / Date,Active Time/Date,Area,Description,Device
847,2023-09-05 오전 5:39,2023-09-05 오전 5:39,CC05,Fault data without occupation Digital Alarm,P2664_Z1
1639,2023-09-05 오전 3:40,2023-09-05 오전 3:40,CC05,Fault data without occupation Digital Alarm,P2654
1640,2023-09-05 오전 3:40,2023-09-05 오전 3:40,CC05,Fault occupied without data Digital Alarm,P2653
2206,2023-09-05 오전 2:03,2023-09-05 오전 2:03,CC05,Fault occupied without data Digital Alarm,P2681
3153,2023-09-04 오후 11:55,2023-09-04 오후 11:55,CC05,Jam or sensor fault Digital Alarm,P2664_Z1
3158,2023-09-04 오후 11:54,2023-09-04 오후 11:54,CC05,Fault data without occupation Digital Alarm,P2654
3678,2023-09-04 오후 10:44,2023-09-04 오후 10:44,CC05,Jam or sensor fault Digital Alarm,P2664_Z1
4409,2023-09-04 오후 9:30,2023-09-04 오후 9:30,CC05,Fault occupied without data Digital Alarm,P2558
4419,2023-09-04 오후 9:29,2023-09-04 오후 9:29,CC05,Fault data without occupation Digital Alarm,P2559
4420,2023-09-04 오후 9:29,2023-09-04 오후 9:29,CC05,Fault occupied without data Digital Alarm,P2558
4440,2023-09-04 오후 9:26,2023-09-04 오후 9:26,CC05,Fault occupied without data Digital Alarm,P2562
4882,2023-09-04 오후 8:34,2023-09-04 오후 8:34,CC05,Jam or sensor fault Digital Alarm,P2664_Z1
4902,2023-09-04 오후 8:32,2023-09-04 오후 8:32,CC05,Fault occupied without data Digital Alarm,P2570
4983,2023-09-04 오후 8:22,2023-09-04 오후 8:22,CC05,Fault data without occupation Digital Alarm,P2581
4989,2023-09-04 오후 8:22,2023-09-04 오후 8:22,CC05,Frequency Inverter fault Digital Alarm,P2575B_PSH
