Time / Date,Area,Description,Device
2023-11-09 오전 8:54,MSAI03,Load Runtime Fault on Conveyor,LR13RI11            
2023-11-09 오전 8:48,MSAI03,Load Runtime Fault on Conveyor,LR13RI11            
2023-11-09 오전 8:19,MSAI03,Load Jam or Sensor Fault on Conveyor,CR01PS16            
2023-11-09 오전 7:30,MSAI03,Load Runtime Fault on Conveyor,CR01PS15            
2023-11-09 오전 7:29,MSAI03,Load Runtime Fault on Conveyor,CR01PS15            
2023-11-09 오전 7:28,MSAI03,"Data Present, No Logical Load Presence",CR01PS12            
2023-11-09 오전 7:28,MSAI03,"Logical Load Presence, No Data Present",CR01PS16            
2023-11-09 오전 7:28,MSAI03,"Logical Load Presence, No Data Present",CR01PS15            
2023-11-09 오전 7:20,MSAI03,Profinet Fault - See Diagnostics Screen ,PROFINET            
2023-11-09 오전 7:20,MSAI03,Profinet Fault - See Diagnostics Screen ,EL01LO04            
2023-11-09 오전 7:20,MSAI03,Profinet Fault - See Diagnostics Screen ,EL01LO01            
2023-11-09 오전 6:56,MSAI03,Conveyor Gap Sensor Blocked ,ER01LO04            
2023-11-09 오전 6:55,MSAI03,Conveyor Gap Sensor Blocked ,CR01PS11            
2023-11-09 오전 2:14,MSAI03,Order repair timeout,LV08SH01            
2023-11-09 오전 2:11,MSAI03,"Data Present, No Logical Load Presence",EL01LO04            
2023-11-09 오전 2:10,MSAI03,Load Runtime Fault on Conveyor,LL11RO12            
2023-11-09 오전 2:03,MSAI03,Gap between loads too small ,LV08SH01            
2023-11-09 오전 12:58,MSAI03,Load Runtime Fault on Conveyor,LL07RO12            
2023-11-09 오전 12:55,MSAI03,Gap between loads too small ,LV15SH01            
2023-11-08 오후 11:58,MSAI03,Gap between loads too small ,LV01SH01            
2023-11-08 오후 11:30,MSAI03,Profinet Fault - See Diagnostics Screen ,PROFINET            
2023-11-08 오후 11:30,MSAI03,Profinet Fault - See Diagnostics Screen ,EL01LO04            
2023-11-08 오후 11:30,MSAI03,Profinet Fault - See Diagnostics Screen ,EL01LO01            
2023-11-08 오후 9:52,MSAI03,Gap between loads too small ,LV05SH01            
2023-11-08 오후 9:38,MSAI03,Z: Over Current ,LV03SH01            
2023-11-08 오후 7:35,MSAI03,Motor Stalled ,EL01LO04            
2023-11-08 오후 7:23,MSAI03,Profinet Fault - See Diagnostics Screen ,PROFINET            
2023-11-08 오후 7:23,MSAI03,Profinet Fault - See Diagnostics Screen ,EL01LO04            
2023-11-08 오후 7:23,MSAI03,Profinet Fault - See Diagnostics Screen ,EL01LO01            
