Time / Date,Area,Description,Device
2023-11-09 오전 8:46,CC04,Fault data without occupation Digital Alarm,P2527
2023-11-09 오전 8:36,CC04,Fault data without occupation Digital Alarm,P2527
2023-11-09 오전 8:29,CC04,Fault data without occupation Digital Alarm,P2527
2023-11-09 오전 8:01,CC04,Jam or sensor fault Digital Alarm,P2594_Z1
2023-11-09 오전 7:37,CC04,Jam or sensor fault Digital Alarm,P2594_Z1
2023-11-09 오전 7:35,CC04,Fault occupied without data Digital Alarm,P2522
2023-11-08 오후 8:13,CC04,Fault data without occupation Digital Alarm,P2513
2023-11-08 오후 8:04,CC04,Fault data without occupation Digital Alarm,P2513
2023-11-08 오후 8:03,CC04,Fault data without occupation Digital Alarm,P2513
2023-11-08 오후 7:40,CC04,Fault data without occupation Digital Alarm,P2513
2023-11-08 오후 7:13,CC04,Fault occupied without data Digital Alarm,P2611
