,Time / Date,Active Time/Date,Area,Description,Device
22,2023-09-01 오전 8:53,2023-09-01 오전 8:53,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
23,2023-09-01 오전 8:53,2023-09-01 오전 8:53,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
24,2023-09-01 오전 8:53,2023-09-01 오전 8:53,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  ,                    
49,2023-09-01 오전 8:47,2023-09-01 오전 8:47,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
50,2023-09-01 오전 8:47,2023-09-01 오전 8:47,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
65,2023-09-01 오전 8:44,2023-09-01 오전 8:44,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
66,2023-09-01 오전 8:44,2023-09-01 오전 8:44,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
67,2023-09-01 오전 8:44,2023-09-01 오전 8:44,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
68,2023-09-01 오전 8:44,2023-09-01 오전 8:44,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
69,2023-09-01 오전 8:44,2023-09-01 오전 8:43,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
70,2023-09-01 오전 8:44,2023-09-01 오전 8:43,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
92,2023-09-01 오전 8:42,2023-09-01 오전 8:42,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
93,2023-09-01 오전 8:42,2023-09-01 오전 8:42,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
100,2023-09-01 오전 8:41,2023-09-01 오전 8:41,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
101,2023-09-01 오전 8:41,2023-09-01 오전 8:41,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
102,2023-09-01 오전 8:41,2023-09-01 오전 8:41,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
103,2023-09-01 오전 8:41,2023-09-01 오전 8:41,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
137,2023-09-01 오전 8:38,2023-09-01 오전 8:38,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
138,2023-09-01 오전 8:38,2023-09-01 오전 8:38,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
143,2023-09-01 오전 8:37,2023-09-01 오전 8:37,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
144,2023-09-01 오전 8:37,2023-09-01 오전 8:37,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
152,2023-09-01 오전 8:36,2023-09-01 오전 8:36,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
153,2023-09-01 오전 8:36,2023-09-01 오전 8:36,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
162,2023-09-01 오전 8:36,2023-09-01 오전 8:36,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
163,2023-09-01 오전 8:36,2023-09-01 오전 8:36,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
164,2023-09-01 오전 8:35,2023-09-01 오전 8:35,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
