,Time / Date,Active Time/Date,Area,Description,Device
165,2023-09-01 오전 8:35,2023-09-01 오전 8:35,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
209,2023-09-01 오전 8:31,2023-09-01 오전 8:30,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
210,2023-09-01 오전 8:31,2023-09-01 오전 8:30,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
218,2023-09-01 오전 8:30,2023-09-01 오전 8:30,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
219,2023-09-01 오전 8:30,2023-09-01 오전 8:30,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
251,2023-09-01 오전 8:26,2023-09-01 오전 8:26,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
252,2023-09-01 오전 8:26,2023-09-01 오전 8:26,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
253,2023-09-01 오전 8:26,2023-09-01 오전 8:26,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
254,2023-09-01 오전 8:26,2023-09-01 오전 8:26,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
259,2023-09-01 오전 8:25,2023-09-01 오전 8:25,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
260,2023-09-01 오전 8:25,2023-09-01 오전 8:25,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
281,2023-09-01 오전 8:24,2023-09-01 오전 8:24,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
282,2023-09-01 오전 8:24,2023-09-01 오전 8:24,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
307,2023-09-01 오전 8:21,2023-09-01 오전 8:21,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
308,2023-09-01 오전 8:21,2023-09-01 오전 8:21,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
311,2023-09-01 오전 8:19,2023-09-01 오전 8:19,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
312,2023-09-01 오전 8:19,2023-09-01 오전 8:19,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
313,2023-09-01 오전 8:18,2023-09-01 오전 8:18,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
314,2023-09-01 오전 8:18,2023-09-01 오전 8:18,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
330,2023-09-01 오전 8:14,2023-09-01 오전 8:14,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
331,2023-09-01 오전 8:14,2023-09-01 오전 8:14,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
334,2023-09-01 오전 8:14,2023-09-01 오전 8:14,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
335,2023-09-01 오전 8:14,2023-09-01 오전 8:14,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
342,2023-09-01 오전 8:13,2023-09-01 오전 8:13,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
343,2023-09-01 오전 8:13,2023-09-01 오전 8:13,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
347,2023-09-01 오전 8:13,2023-09-01 오전 8:13,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
348,2023-09-01 오전 8:13,2023-09-01 오전 8:13,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
373,2023-09-01 오전 8:06,2023-09-01 오전 8:06,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
374,2023-09-01 오전 8:06,2023-09-01 오전 8:06,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
375,2023-09-01 오전 8:05,2023-09-01 오전 8:05,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
376,2023-09-01 오전 8:05,2023-09-01 오전 8:05,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
377,2023-09-01 오전 8:05,2023-09-01 오전 8:05,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
378,2023-09-01 오전 8:05,2023-09-01 오전 8:05,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
379,2023-09-01 오전 8:05,2023-09-01 오전 8:04,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
380,2023-09-01 오전 8:05,2023-09-01 오전 8:04,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
383,2023-09-01 오전 8:03,2023-09-01 오전 8:03,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
384,2023-09-01 오전 8:03,2023-09-01 오전 8:03,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
389,2023-09-01 오전 8:03,2023-09-01 오전 8:03,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
390,2023-09-01 오전 8:03,2023-09-01 오전 8:03,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
395,2023-09-01 오전 8:01,2023-09-01 오전 8:01,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
396,2023-09-01 오전 8:01,2023-09-01 오전 8:01,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
397,2023-09-01 오전 8:01,2023-09-01 오전 8:01,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
398,2023-09-01 오전 8:01,2023-09-01 오전 8:01,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
403,2023-09-01 오전 8:00,2023-09-01 오전 8:00,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
404,2023-09-01 오전 8:00,2023-09-01 오전 8:00,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
509,2023-09-01 오전 7:39,2023-09-01 오전 7:39,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
510,2023-09-01 오전 7:39,2023-09-01 오전 7:39,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
513,2023-09-01 오전 7:39,2023-09-01 오전 7:39,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
514,2023-09-01 오전 7:39,2023-09-01 오전 7:39,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
515,2023-09-01 오전 7:38,2023-09-01 오전 7:38,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
516,2023-09-01 오전 7:38,2023-09-01 오전 7:38,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
558,2023-09-01 오전 7:33,2023-09-01 오전 7:32,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
559,2023-09-01 오전 7:33,2023-09-01 오전 7:32,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
592,2023-09-01 오전 7:21,2023-09-01 오전 7:21,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
593,2023-09-01 오전 7:21,2023-09-01 오전 7:21,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
595,2023-09-01 오전 7:21,2023-09-01 오전 7:21,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
596,2023-09-01 오전 7:21,2023-09-01 오전 7:21,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
597,2023-09-01 오전 7:21,2023-09-01 오전 7:21,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
598,2023-09-01 오전 7:21,2023-09-01 오전 7:21,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
629,2023-09-01 오전 7:09,2023-09-01 오전 7:09,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
630,2023-09-01 오전 7:09,2023-09-01 오전 7:09,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
631,2023-09-01 오전 7:09,2023-09-01 오전 7:09,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
632,2023-09-01 오전 7:09,2023-09-01 오전 7:09,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
633,2023-09-01 오전 7:08,2023-09-01 오전 7:08,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
634,2023-09-01 오전 7:08,2023-09-01 오전 7:08,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
635,2023-09-01 오전 7:08,2023-09-01 오전 7:08,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  ,                    
636,2023-09-01 오전 7:00,2023-09-01 오전 7:00,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
637,2023-09-01 오전 7:00,2023-09-01 오전 7:00,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
638,2023-09-01 오전 6:57,2023-09-01 오전 6:57,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
639,2023-09-01 오전 6:57,2023-09-01 오전 6:57,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
640,2023-09-01 오전 6:56,2023-09-01 오전 6:56,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
641,2023-09-01 오전 6:56,2023-09-01 오전 6:56,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
642,2023-09-01 오전 6:56,2023-09-01 오전 6:56,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
643,2023-09-01 오전 6:56,2023-09-01 오전 6:56,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
644,2023-09-01 오전 6:55,2023-09-01 오전 6:55,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
645,2023-09-01 오전 6:55,2023-09-01 오전 6:55,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
646,2023-09-01 오전 6:55,2023-09-01 오전 6:55,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
647,2023-09-01 오전 6:55,2023-09-01 오전 6:55,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
648,2023-09-01 오전 6:54,2023-09-01 오전 6:54,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
649,2023-09-01 오전 6:54,2023-09-01 오전 6:54,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
658,2023-09-01 오전 6:52,2023-09-01 오전 6:52,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
659,2023-09-01 오전 6:52,2023-09-01 오전 6:52,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
660,2023-09-01 오전 6:52,2023-09-01 오전 6:52,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
661,2023-09-01 오전 6:52,2023-09-01 오전 6:52,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
662,2023-09-01 오전 6:52,2023-09-01 오전 6:48,UL03,"102116 Position Overshoot | X 1, Aisle 3  OK ",                    
663,2023-09-01 오전 6:52,2023-09-01 오전 6:48,UL03,"102116 Position Overshoot | X 1, Aisle 3  OK ",                    
664,2023-09-01 오전 6:48,2023-09-01 오전 6:48,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
665,2023-09-01 오전 6:48,2023-09-01 오전 6:48,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
669,2023-09-01 오전 6:47,2023-09-01 오전 6:47,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
670,2023-09-01 오전 6:47,2023-09-01 오전 6:47,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
671,2023-09-01 오전 6:46,2023-09-01 오전 6:46,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
672,2023-09-01 오전 6:46,2023-09-01 오전 6:46,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
673,2023-09-01 오전 6:46,2023-09-01 오전 6:46,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
674,2023-09-01 오전 6:46,2023-09-01 오전 6:46,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
675,2023-09-01 오전 6:45,2023-09-01 오전 6:45,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
676,2023-09-01 오전 6:45,2023-09-01 오전 6:45,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
677,2023-09-01 오전 6:44,2023-09-01 오전 6:44,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
678,2023-09-01 오전 6:44,2023-09-01 오전 6:44,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
679,2023-09-01 오전 6:44,2023-09-01 오전 6:44,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
680,2023-09-01 오전 6:44,2023-09-01 오전 6:44,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
751,2023-09-01 오전 6:05,2023-09-01 오전 6:05,UL03,201112 Y axis not in range of bin | Aisle 3  OK ,                    
752,2023-09-01 오전 6:05,2023-09-01 오전 6:05,UL03,201112 Y axis not in range of bin | Aisle 3  OK ,                    
753,2023-09-01 오전 6:04,2023-09-01 오전 6:04,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
754,2023-09-01 오전 6:04,2023-09-01 오전 6:04,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
760,2023-09-01 오전 6:03,2023-09-01 오전 6:03,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
761,2023-09-01 오전 6:03,2023-09-01 오전 6:03,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
762,2023-09-01 오전 6:03,2023-09-01 오전 6:03,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
763,2023-09-01 오전 6:03,2023-09-01 오전 6:03,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
779,2023-09-01 오전 6:01,2023-09-01 오전 5:56,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
780,2023-09-01 오전 6:01,2023-09-01 오전 5:56,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
781,2023-09-01 오전 6:01,2023-09-01 오전 5:56,UL03,100114 Door 1 Solenoid Lock Not Locking When Expected To | Aisle 3  OK ,                    
782,2023-09-01 오전 6:01,2023-09-01 오전 5:56,UL03,100115 Door 1 is open while SRM is operating | Aisle 3  OK ,                    
783,2023-09-01 오전 6:01,2023-09-01 오전 5:56,UL03,100114 Door 1 Solenoid Lock Not Locking When Expected To | Aisle 3  OK ,                    
798,2023-09-01 오전 5:56,2023-09-01 오전 5:56,UL03,101130 SRM Safety Circuit is not OK | Aisle 3  OK ,                    
799,2023-09-01 오전 5:56,2023-09-01 오전 5:56,UL03,101130 SRM Safety Circuit is not OK | Aisle 3  OK ,                    
800,2023-09-01 오전 5:56,2023-09-01 오전 5:56,UL03,101130 SRM Safety Circuit is not OK | Aisle 3  ,                    
861,2023-09-01 오전 5:37,2023-09-01 오전 5:37,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
862,2023-09-01 오전 5:37,2023-09-01 오전 5:37,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
863,2023-09-01 오전 5:37,2023-09-01 오전 5:37,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
864,2023-09-01 오전 5:37,2023-09-01 오전 5:37,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
865,2023-09-01 오전 5:36,2023-09-01 오전 5:36,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
866,2023-09-01 오전 5:36,2023-09-01 오전 5:36,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
946,2023-09-01 오전 5:20,2023-09-01 오전 5:20,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
947,2023-09-01 오전 5:20,2023-09-01 오전 5:20,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
948,2023-09-01 오전 5:19,2023-09-01 오전 5:19,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
949,2023-09-01 오전 5:19,2023-09-01 오전 5:19,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
950,2023-09-01 오전 5:19,2023-09-01 오전 5:19,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
951,2023-09-01 오전 5:19,2023-09-01 오전 5:19,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
952,2023-09-01 오전 5:19,2023-09-01 오전 5:19,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
953,2023-09-01 오전 5:19,2023-09-01 오전 5:19,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
994,2023-09-01 오전 5:15,2023-09-01 오전 5:15,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
995,2023-09-01 오전 5:15,2023-09-01 오전 5:15,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
999,2023-09-01 오전 5:15,2023-09-01 오전 5:15,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
