Time / Date,Area,Description,Device
2023-10-06 오후 3:02,PC03,ErgoPall Profinet Coupler Comms Heartbeat Timeout,ErgoPall            
2023-10-06 오후 3:02,PC03,EZ19 Tripped,                    
2023-10-06 오후 3:02,PC03,ErgoPall Estop,ErgoPall            
2023-10-06 오후 3:02,PC03,EZ19 ESTOP S03 Activated,EZ19                
2023-10-06 오후 3:02,PC03,Gate_ErgoPallopen,Gate_ErgoPall       
2023-10-06 오후 2:55,PC03,ErgoPall Profinet Coupler Comms Heartbeat Timeout,ErgoPall            
2023-10-06 오후 2:55,PC03,ErgoPall Estop,ErgoPall            
2023-10-06 오후 2:47,PC03,ErgoPall Not Ready,ErgoPall            
2023-10-06 오후 2:46,PC03,P2210A Destacker Alarm,                    
2023-10-06 오후 2:33,PC03,Invalid header received from WCS. (Return Code BF),DCI_LCS             
2023-10-06 오후 2:00,PC03,P2217 Conveyor Movimot Drive M01 Fault,P2217               
2023-10-06 오후 2:00,PC03,P2217 Conveyor Movimot Drive M01 Fault,P2217               
2023-10-06 오후 1:59,PC03,P2217 Conveyor Movimot Drive M01 Fault,P2217               
2023-10-06 오후 1:33,PC03,Invalid header received from WCS. (Return Code BF),DCI_LCS             
2023-10-06 오후 12:33,PC03,Invalid header received from WCS. (Return Code BF),DCI_LCS             
2023-10-06 오후 12:22,PC03,L2253 Inverter Not Ready,P2253_Lifter_Winkel 
2023-10-06 오후 12:21,PC03,EZ17 Tripped,                    
2023-10-06 오후 12:21,PC03,LC2238ASafety Light Curtain Tripped,LC2238A             
2023-10-06 오후 12:20,PC03,LC2256ASafety Light Curtain Tripped,LC2256A             
2023-10-06 오후 12:20,PC03,EZ18 Tripped,                    
2023-10-06 오전 11:33,PC03,Invalid header received from WCS. (Return Code BF),DCI_LCS             
2023-10-06 오전 11:25,PC03,ErgoPall Profinet Coupler Comms Heartbeat Timeout,ErgoPall            
2023-10-06 오전 11:25,PC03,ErgoPall Estop,ErgoPall            
2023-10-06 오전 11:25,PC03,Gate_ErgoPallopen,Gate_ErgoPall       
2023-10-06 오전 11:19,PC03,ErgoPall Not Ready,ErgoPall            
2023-10-06 오전 11:18,PC03,ErgoPall Not Ready,ErgoPall            
2023-10-06 오전 11:16,PC03,ErgoPall Not Ready,ErgoPall            
2023-10-06 오전 11:16,PC03,EZ19 ESTOP S03 reset required,                    
2023-10-06 오전 11:11,PC03,Gate_ErgoPall has been opened too long,Gate_ErgoPall       
2023-10-06 오전 11:10,PC03,ErgoPall Not Ready,ErgoPall            
2023-10-06 오전 11:10,PC03,ErgoPall Estop,ErgoPall            
2023-10-06 오전 11:10,PC03,EZ19 Tripped,                    
2023-10-06 오전 11:10,PC03,EZ19 ESTOP S03 Activated,EZ19                
2023-10-06 오전 11:10,PC03,Gate_ErgoPallopen,Gate_ErgoPall       
2023-10-06 오전 10:33,PC03,Invalid header received from WCS. (Return Code BF),DCI_LCS             
2023-10-06 오전 9:49,PC03,P2217 Conveyor Movimot Drive M01 Fault,P2217               
2023-10-06 오전 9:33,PC03,Invalid header received from WCS. (Return Code BF),DCI_LCS             
2023-10-06 오전 9:24,PC03,P2203 Conveyor Movimot Drive M01 Fault,P2203               
2023-10-06 오전 8:33,PC03,Invalid header received from WCS. (Return Code BF),DCI_LCS             
2023-10-06 오전 7:33,PC03,Invalid header received from WCS. (Return Code BF),DCI_LCS             
2023-10-06 오전 7:04,PC03,P2217 Conveyor Movimot Drive M01 Fault,P2217               
2023-10-06 오전 7:03,PC03,LC2273ASafety Light Curtain Tripped,LC2273A             
2023-10-06 오전 7:03,PC03,P2217 Conveyor Movimot Drive M01 Fault,P2217               
2023-10-06 오전 7:02,PC03,LC2271ASafety Light Curtain Tripped,LC2271A             
2023-10-06 오전 7:02,PC03,P2217 Conveyor Movimot Drive M01 Fault,P2217               
2023-10-06 오전 6:33,PC03,Invalid header received from WCS. (Return Code BF),DCI_LCS             
2023-10-06 오전 6:16,PC03,ErgoPall Not Ready,ErgoPall            
2023-10-06 오전 6:10,PC03,LC2236ASafety Light Curtain Tripped,LC2236A             
2023-10-06 오전 6:10,PC03,EZ17 Tripped,                    
2023-10-06 오전 6:09,PC03,LC2236ASafety Light Curtain Tripped,LC2236A             
2023-10-06 오전 6:09,PC03,EZ17 Tripped,                    
2023-10-06 오전 6:06,PC03,L2253 Inverter Not Ready,P2253_Lifter_Winkel 
2023-10-06 오전 6:06,PC03,LC2236ASafety Light Curtain Tripped,LC2236A             
2023-10-06 오전 6:06,PC03,EZ17 Tripped,                    
2023-10-06 오전 5:33,PC03,Invalid header received from WCS. (Return Code BF),DCI_LCS             
2023-10-06 오전 4:51,PC03,P2217 Conveyor Movimot Drive M01 Fault,P2217               
2023-10-06 오전 4:51,PC03,P2217 Conveyor Movimot Drive M01 Fault,P2217               
