Time / Date,Area,Description,Device
2023-11-16 오전 8:46,UL01,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 1,                    
2023-11-16 오전 7:47,UL01,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 1,                    
2023-11-16 오전 6:14,UL01,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 1,                    
2023-11-16 오전 4:25,UL01,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 1,                    
2023-11-16 오전 3:29,UL01,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 1,                    
2023-11-15 오후 7:18,UL01,200107 Error LED on SRM PLC is Active Indicating a PLC Error | Aisle 1,                    
2023-11-15 오후 7:07,UL01,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 1,                    
2023-11-15 오후 6:27,UL01,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 1,                    
