Time / Date,Area,Description,Device
2023-11-15 오후 11:47,MSAI04,Shuttle Not Ready for Orders,LV03SH01            
2023-11-15 오후 9:37,MSAI04,"Data Present, No Logical Load Presence",LL06RI12            
2023-11-15 오후 9:37,MSAI04,Load Runtime Fault on Conveyor,LL06RI12            
2023-11-15 오후 9:25,MSAI04,Conveyor Gap Sensor Blocked ,CL01PS11            
2023-11-15 오후 9:24,MSAI04,Load Runtime Fault on Conveyor,EL01LO04            
2023-11-15 오후 9:24,MSAI04,"Sensor Blocked, No Logical Load Presence",CL01PS15            
2023-11-15 오후 9:23,MSAI04,Load Jam or Sensor Fault on Conveyor,CL01PS16            
2023-11-15 오후 9:23,MSAI04,Load Runtime Fault on Conveyor,CL01PS15            
2023-11-15 오후 9:23,MSAI04,X: Max Current Duration Exceeded,LV06SH01            
2023-11-15 오후 9:22,MSAI04,Load Jam or Sensor Fault on Conveyor,CL01PS16            
2023-11-15 오후 9:22,MSAI04,Conveyor Gap Sensor Blocked ,CL01PS11            
2023-11-15 오후 9:21,MSAI04,Load Runtime Fault on Conveyor,EL01LO04            
2023-11-15 오후 9:20,MSAI04,"Sensor Blocked, No Logical Load Presence",CL01PS15            
2023-11-15 오후 9:17,MSAI04,Load Jam or Sensor Fault on Conveyor,CL01PS16            
2023-11-15 오후 8:35,MSAI04,Shuttle Not Ready for Orders,LV03SH01            
2023-11-15 오후 7:58,MSAI04,Front Finger 1 Not Closed ,LV02SH01            
2023-11-15 오후 6:25,MSAI04,Gap between loads too small ,LV16SH01            
