,Time / Date,Active Time/Date,Area,Description,Device
7,2023-09-04 오전 8:45,2023-09-04 오전 8:45,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
8,2023-09-04 오전 8:45,2023-09-04 오전 8:45,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
11,2023-09-04 오전 8:44,2023-09-04 오전 8:44,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
12,2023-09-04 오전 8:44,2023-09-04 오전 8:44,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
13,2023-09-04 오전 8:44,2023-09-04 오전 8:44,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
14,2023-09-04 오전 8:44,2023-09-04 오전 8:44,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
15,2023-09-04 오전 8:44,2023-09-04 오전 8:44,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
16,2023-09-04 오전 8:44,2023-09-04 오전 8:44,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
17,2023-09-04 오전 8:39,2023-09-04 오전 8:39,UL03,"121114 LHD Has A Load On Board Without Data Occupancy | LHD 1, Aisle 3  OK ",                    
18,2023-09-04 오전 8:39,2023-09-04 오전 8:34,UL03,"121119 LHD Fork Overhanging While SRM Commanded to Move | LHD 1, Aisle 3  OK ",                    
19,2023-09-04 오전 8:39,2023-09-04 오전 8:39,UL03,"121114 LHD Has A Load On Board Without Data Occupancy | LHD 1, Aisle 3  OK ",                    
49,2023-09-04 오전 8:32,2023-09-04 오전 8:32,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
50,2023-09-04 오전 8:32,2023-09-04 오전 8:32,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
51,2023-09-04 오전 8:32,2023-09-04 오전 8:32,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
52,2023-09-04 오전 8:32,2023-09-04 오전 8:32,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
99,2023-09-04 오전 8:25,2023-09-04 오전 8:25,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
100,2023-09-04 오전 8:25,2023-09-04 오전 8:25,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
121,2023-09-04 오전 8:23,2023-09-04 오전 8:23,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
122,2023-09-04 오전 8:23,2023-09-04 오전 8:23,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
181,2023-09-04 오전 8:17,2023-09-04 오전 8:17,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
182,2023-09-04 오전 8:17,2023-09-04 오전 8:17,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
279,2023-09-04 오전 8:08,2023-09-04 오전 8:08,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
281,2023-09-04 오전 8:08,2023-09-04 오전 8:08,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
323,2023-09-04 오전 8:00,2023-09-04 오전 8:00,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
324,2023-09-04 오전 8:00,2023-09-04 오전 8:00,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
361,2023-09-04 오전 7:49,2023-09-04 오전 7:49,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
362,2023-09-04 오전 7:49,2023-09-04 오전 7:49,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
367,2023-09-04 오전 7:46,2023-09-04 오전 7:46,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
368,2023-09-04 오전 7:46,2023-09-04 오전 7:46,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
372,2023-09-04 오전 7:44,2023-09-04 오전 7:44,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
373,2023-09-04 오전 7:44,2023-09-04 오전 7:44,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
374,2023-09-04 오전 7:43,2023-09-04 오전 7:43,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
375,2023-09-04 오전 7:43,2023-09-04 오전 7:43,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
376,2023-09-04 오전 7:43,2023-09-04 오전 7:43,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3  OK ,                    
