,Time / Date,Active Time/Date,Area,Description,Device
4776,2023-09-02 오후 4:42,2023-09-02 오후 4:42,LP01,Zone 01 is stopped. LPF  OK ,LP01
4779,2023-09-02 오후 4:42,2023-09-02 오후 4:41,LP01,System is stopped  OK ,LP01
4780,2023-09-02 오후 4:42,2023-09-02 오후 4:41,LP01,System is stopped  OK ,LP01
4781,2023-09-02 오후 4:42,2023-09-02 오후 4:42,LP01,Zone 01 is stopped. LPF Digital Alarm,LP01
4796,2023-09-02 오후 4:42,2023-09-02 오후 4:41,LP01,Request for access for the LPF is requested or accepted  OK ,LP01
4811,2023-09-02 오후 4:41,2023-09-02 오후 4:41,LP01,System is stopped Digital Alarm,LP01
4816,2023-09-02 오후 4:41,2023-09-02 오후 4:41,LP01,Request for access for the LPF is requested or accepted Digital Alarm,LP01
5111,2023-09-02 오후 4:01,2023-09-02 오후 4:00,LP01,System is stopped  OK ,LP01
5112,2023-09-02 오후 4:01,2023-09-02 오후 4:00,LP01,System is stopped  OK ,LP01
5121,2023-09-02 오후 4:00,2023-09-02 오후 4:00,LP01,Emergency stop from external system  OK ,LP01
5136,2023-09-02 오후 4:00,2023-09-02 오후 4:00,LP01,System is stopped Digital Alarm,LP01
5137,2023-09-02 오후 4:00,2023-09-02 오후 4:00,LP01,Emergency stop from external system Digital Alarm,LP01
5206,2023-09-02 오후 3:50,2023-09-02 오후 3:49,LP01,in manual from HMI panel  OK ,LP01
5207,2023-09-02 오후 3:50,2023-09-02 오후 3:49,LP01,in manual from HMI panel  OK ,LP01
5212,2023-09-02 오후 3:50,2023-09-02 오후 3:50,LP01,Zone 01 is stopped. LPF  OK ,LP01
5218,2023-09-02 오후 3:50,2023-09-02 오후 3:49,LP01,System is stopped  OK ,LP01
5219,2023-09-02 오후 3:50,2023-09-02 오후 3:50,LP01,Zone 01 is stopped. LPF Digital Alarm,LP01
5236,2023-09-02 오후 3:50,2023-09-02 오후 3:49,LP01,Request for access for the LPF is requested or accepted  OK ,LP01
5237,2023-09-02 오후 3:50,2023-09-02 오후 3:49,LP01,Request for access for the LPF is requested or accepted  OK ,LP01
5242,2023-09-02 오후 3:49,2023-09-02 오후 3:49,LP01,[Sensor]Light grid activated  OK ,LP01
5243,2023-09-02 오후 3:49,2023-09-02 오후 3:49,LP01,[Sensor]Light grid activated  OK ,LP01
5255,2023-09-02 오후 3:49,2023-09-02 오후 3:49,LP01,System is stopped Digital Alarm,LP01
5256,2023-09-02 오후 3:49,2023-09-02 오후 3:49,LP01,Request for access for the LPF is requested or accepted Digital Alarm,LP01
5257,2023-09-02 오후 3:49,2023-09-02 오후 3:49,LP01,in manual from HMI panel Digital Alarm,LP01
5260,2023-09-02 오후 3:49,2023-09-02 오후 3:49,LP01,[Sensor]Light grid activated Digital Alarm,LP01
5262,2023-09-02 오후 3:49,2023-09-02 오후 3:49,LP01,in manual from HMI panel  OK ,LP01
5263,2023-09-02 오후 3:49,2023-09-02 오후 3:48,LP01,LG has been activated during move with layer - layer dropped  OK ,LP01
5264,2023-09-02 오후 3:49,2023-09-02 오후 3:49,LP01,in manual from HMI panel Digital Alarm,LP01
5275,2023-09-02 오후 3:48,2023-09-02 오후 3:48,LP01,LG has been activated during move with layer - layer dropped Digital Alarm,LP01
5401,2023-09-02 오후 3:33,2023-09-02 오후 3:30,LP01,Timeout - Deposit position not ready  OK ,LP01
