,Time / Date,Active Time/Date,Area,Description,Device
3805,2023-09-04 오후 10:34,2023-09-04 오후 10:34,RP02,The Target Space Is Occupied Or Not Accessible Digital Alarm,RP1_LOAD_APP
3973,2023-09-04 오후 10:03,2023-09-04 오후 10:03,RP02,[Lift 1 (Belt)] Transmission Failure Digital Alarm,P01PA1_PB1
3981,2023-09-04 오후 10:02,2023-09-04 오후 10:02,RP02,[Lift 1 (Belt)] Transmission Failure Digital Alarm,P01PA1_PB1
4041,2023-09-04 오후 9:58,2023-09-04 오후 9:58,RP02,[X Axis] Execution Time Digital Alarm,P01MA1
4292,2023-09-04 오후 9:39,2023-09-04 오후 9:39,RP02,[Lift 1 (Belt)] Transmission Failure Digital Alarm,P01PA1_PB1
4507,2023-09-04 오후 9:22,2023-09-04 오후 9:22,RP02,Sliding Blade Is Lost Digital Alarm,P01MA1
4757,2023-09-04 오후 8:51,2023-09-04 오후 8:51,RP02,[Topography Checker] Range Check Does Not Return Any Results Digital Alarm,RP1_LOAD_APP
4787,2023-09-04 오후 8:49,2023-09-04 오후 8:49,RP02,No Objects Found In The Given ROI Digital Alarm,P01NA1_CAM
4827,2023-09-04 오후 8:42,2023-09-04 오후 8:42,RP02,[X Axis] Execution Time Digital Alarm,P01MA1
5334,2023-09-04 오후 7:54,2023-09-04 오후 7:54,RP02,The Database Is Very Close To Being Full Digital Alarm,P01MFC
5365,2023-09-04 오후 7:51,2023-09-04 오후 7:51,RP02,Emergency Circuit Activated Digital Alarm,P01RP1_U_SIK
5366,2023-09-04 오후 7:51,2023-09-04 오후 7:51,RP02,Emergency Circuit Activated Digital Alarm,P01RP1_O_SIK
5367,2023-09-04 오후 7:51,2023-09-04 오후 7:51,RP02,Emergency Circuit Activated Digital Alarm,P01RP1_LI_SIK
5425,2023-09-04 오후 7:42,2023-09-04 오후 7:42,RP02,Frequency Converter Failure Digital Alarm,P01NA1
5462,2023-09-04 오후 7:38,2023-09-04 오후 7:38,RP02,Emergency Circuit Activated Digital Alarm,P01RP1_U_SIK
5463,2023-09-04 오후 7:38,2023-09-04 오후 7:38,RP02,Security Door Open 01 Digital Alarm,P01RP1_U_SIK
5464,2023-09-04 오후 7:38,2023-09-04 오후 7:38,RP02,Emergency Circuit Activated Digital Alarm,P01RP1_O_SIK
5465,2023-09-04 오후 7:38,2023-09-04 오후 7:38,RP02,Emergency Circuit Activated Digital Alarm,P01RP1_LI_SIK
