Time / Date,Area,Description,Device
2023-11-16 오전 2:00,MSAI01,Shuttle Not Ready for Orders,LV02SH01            
2023-11-15 오후 9:34,MSAI01,Lift Securing Pin Not in Bracket,ER01LO00            
2023-11-15 오후 9:34,MSAI01,Lift Securing Pin Not in Bracket,EL01LO00            
2023-11-15 오후 9:23,MSAI01,"Drop Location Deep, Front Bin Occupied",LV12SH01            
2023-11-15 오후 8:59,MSAI01,"Data Present, No Logical Load Presence",LL09RO11            
2023-11-15 오후 7:33,MSAI01,Load Runtime Fault on Conveyor,LL16RO12            
2023-11-15 오후 7:33,MSAI01,Load Runtime Fault on Conveyor,LL12RO12            
2023-11-15 오후 7:33,MSAI01,Lift Securing Pin Not in Bracket,ER01LO00            
2023-11-15 오후 7:33,MSAI01,Lift Securing Pin Not in Bracket,EL01LO00            
2023-11-15 오후 7:31,MSAI01,X: Shuttle Telescope Not Centered ,LV01SH01            
2023-11-15 오후 7:31,MSAI01,X: Shuttle Telescope Not Centered ,LV06SH01            
