Time / Date,Area,Description,Device
2023-09-26 오전 9:01,MSAI03,Hall Sensor Error ,LR16RI12            
2023-09-26 오전 8:50,MSAI03,Load Runtime Fault on Conveyor,LR03RI11            
2023-09-26 오전 8:49,MSAI03,Load Runtime Fault on Conveyor,LR04RI11            
2023-09-26 오전 8:47,MSAI03,"Shuttle Load Overhang, Both Sides ",LV14SH01            
2023-09-26 오전 8:35,MSAI03,"Shuttle Load Overhang, Both Sides ",LV14SH01            
2023-09-26 오전 7:37,MSAI03,Shuttle Not Ready for Orders,LV04SH01            
2023-09-26 오전 7:30,MSAI03,Load Runtime Fault on Conveyor,LR04RI12            
2023-09-26 오전 7:29,MSAI03,Load Runtime Fault on Conveyor,LR14RI11            
2023-09-26 오전 7:13,MSAI03,Z: Runtime Exceeded ,LV04SH01            
2023-09-26 오전 1:19,MSAI03,"Sensor Blocked, No Logical Load Presence",LL04RO12            
2023-09-26 오전 1:05,MSAI03,Z: Unable to Move to Target Position,LV04SH01            
