Time / Date,Area,Description,Device
2023-11-14 오후 8:52,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3,                    
2023-11-14 오후 8:40,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3,                    
2023-11-14 오후 8:05,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3,                    
2023-11-14 오후 6:50,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3,                    
2023-11-14 오후 12:59,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3,                    
2023-11-14 오전 10:54,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3,                    
2023-11-14 오전 6:26,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3,                    
2023-11-13 오후 10:23,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3,                    
2023-11-13 오후 9:33,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3,                    
2023-11-13 오후 9:30,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3,                    
2023-11-13 오후 9:05,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3,                    
2023-11-13 오후 8:31,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3,                    
2023-11-13 오후 6:39,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3,                    
