,Time / Date,Active Time/Date,Area,Description,Device
3376,2023-09-04 오후 11:27,2023-09-04 오후 11:27,MSAI04,Order repair timeout                                                                                            ,LV08SH01            
3404,2023-09-04 오후 11:22,2023-09-04 오후 11:22,MSAI04,Maintenance Level Rear Gate Open                                                                                ,ML02                
3409,2023-09-04 오후 11:21,2023-09-04 오후 11:21,MSAI04,Front Finger 1 Not Closed                                                                                       ,LV08SH01            
3575,2023-09-04 오후 11:04,2023-09-04 오후 11:04,MSAI04,Maintenance Level Safety Barrier Tripped                                                                        ,ML03                
3578,2023-09-04 오후 11:04,2023-09-04 오후 11:04,MSAI04,Maintenance Level Rear Gate Open                                                                                ,ML03                
3587,2023-09-04 오후 11:02,2023-09-04 오후 11:02,MSAI04,Gap between loads too small                                                                                     ,LV10SH01            
4586,2023-09-04 오후 9:13,2023-09-04 오후 9:13,MSAI04,Order repair timeout                                                                                            ,LV12SH01            
4627,2023-09-04 오후 9:07,2023-09-04 오후 9:07,MSAI04,Maintenance Level Safety Barrier Tripped                                                                        ,ML03                
4635,2023-09-04 오후 9:07,2023-09-04 오후 9:07,MSAI04,Maintenance Level Rear Gate Open                                                                                ,ML03                
4671,2023-09-04 오후 9:01,2023-09-04 오후 9:01,MSAI04,Gap between loads too small                                                                                     ,LV12SH01            
4726,2023-09-04 오후 8:53,2023-09-04 오후 8:53,MSAI04,"Data Present, No Logical Load Presence                                                                          ",LR05RO11            
4903,2023-09-04 오후 8:32,2023-09-04 오후 8:32,MSAI04,"Data Present, No Logical Load Presence                                                                          ",LR13RO11            
5144,2023-09-04 오후 8:11,2023-09-04 오후 8:11,MSAI04,"Data Present, No Logical Load Presence                                                                          ",LR01RO11            
