Time / Date,Area,Description,Device
2023-10-09 오후 10:14,LP01,System is stopped Digital Alarm,LP01
2023-10-09 오후 10:14,LP01,Emergency stop from external system Digital Alarm,LP01
2023-10-09 오후 10:14,LP01,Zone 01 is stopped. LPF Digital Alarm,LP01
2023-10-09 오후 8:25,LP01,in manual from HMI panel Digital Alarm,LP01
2023-10-09 오후 8:23,LP01,[Robot]LG has been activated during move_Layer dropped Digital Alarm,LP01
2023-10-09 오후 8:15,LP01,Zone 01 is stopped. LPF Digital Alarm,LP01
2023-10-09 오후 8:13,LP01,System is stopped Digital Alarm,LP01
2023-10-09 오후 8:13,LP01,Request for access for the LPF is requested or accepted Digital Alarm,LP01
2023-10-09 오후 8:07,LP01,Zone 01 is stopped. LPF Digital Alarm,LP01
2023-10-09 오후 8:05,LP01,System is stopped Digital Alarm,LP01
2023-10-09 오후 8:05,LP01,Request for access for the LPF is requested or accepted Digital Alarm,LP01
2023-10-09 오후 8:02,LP01,[Sensor]Light grid activated Digital Alarm,LP01
2023-10-09 오후 8:01,LP01,Skirt sensors activated during move Digital Alarm,LP01
2023-10-09 오후 6:23,LP01,Zone 01 is stopped. LPF Digital Alarm,LP01
2023-10-09 오후 6:22,LP01,System is stopped Digital Alarm,LP01
2023-10-09 오후 6:22,LP01,Request for access for the LPF is requested or accepted Digital Alarm,LP01
2023-10-09 오후 4:42,LP01,in manual from HMI panel Digital Alarm,LP01
2023-10-09 오후 4:42,LP01,Zone 01 is stopped. LPF Digital Alarm,LP01
2023-10-09 오후 4:42,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
2023-10-09 오후 4:41,LP01,System is stopped Digital Alarm,LP01
2023-10-09 오후 4:41,LP01,Request for access for the LPF is requested or accepted Digital Alarm,LP01
2023-10-09 오후 4:41,LP01,LG has been activated during move with layer - layer dropped Digital Alarm,LP01
2023-10-09 오후 4:40,LP01,Zone 01 is stopped. LPF Digital Alarm,LP01
2023-10-09 오후 4:39,LP01,System is stopped Digital Alarm,LP01
2023-10-09 오후 4:39,LP01,Request for access for the LPF is requested or accepted Digital Alarm,LP01
2023-10-09 오후 4:39,LP01,in manual from HMI panel Digital Alarm,LP01
2023-10-09 오후 4:38,LP01,[Sensor]Light grid activated Digital Alarm,LP01
2023-10-09 오후 4:38,LP01,Limit of measurement is exceeded on the short light grid (Overhang) Digital Alarm,LP01
2023-10-09 오후 4:38,LP01,[Sensor]Light grid activated Digital Alarm,LP01
2023-10-09 오후 4:36,LP01,in manual from Robot Digital Alarm,LP01
2023-10-09 오후 4:36,LP01,[Sensor]Light grid activated Digital Alarm,LP01
2023-10-09 오후 4:36,LP01,in manual from Robot Digital Alarm,LP01
2023-10-09 오후 4:35,LP01,Zone 01 is stopped. LPF Digital Alarm,LP01
2023-10-09 오후 4:35,LP01,System is stopped Digital Alarm,LP01
2023-10-09 오후 4:35,LP01,Request for access for the LPF is requested or accepted Digital Alarm,LP01
2023-10-09 오후 4:34,LP01,[Sensor]Light grid activated Digital Alarm,LP01
2023-10-09 오후 4:34,LP01,in manual from HMI panel Digital Alarm,LP01
2023-10-09 오후 4:33,LP01,in manual from Robot Digital Alarm,LP01
2023-10-09 오후 4:33,LP01,in manual from HMI panel Digital Alarm,LP01
2023-10-09 오후 4:33,LP01,[Sensor]Lift head sensor 1 not activated Digital Alarm,LP01
2023-10-09 오후 4:33,LP01,[Sensor]Light grid activated Digital Alarm,LP01
2023-10-09 오후 4:33,LP01,in manual from Robot Digital Alarm,LP01
2023-10-09 오후 4:33,LP01,[Sensor]Light grid activated Digital Alarm,LP01
2023-10-09 오후 4:32,LP01,in manual from Robot Digital Alarm,LP01
2023-10-09 오후 4:31,LP01,[Sensor]Light grid activated Digital Alarm,LP01
2023-10-09 오후 4:31,LP01,in manual from Robot Digital Alarm,LP01
2023-10-09 오후 4:30,LP01,[Sensor]Lift head sensor 1 not activated Digital Alarm,LP01
2023-10-09 오후 4:30,LP01,[Sensor]Light grid activated Digital Alarm,LP01
2023-10-09 오후 4:30,LP01,in manual from HMI panel Digital Alarm,LP01
2023-10-09 오후 4:30,LP01,System is stopped Digital Alarm,LP01
2023-10-09 오후 4:30,LP01,[Sensor]Lift head sensor 1 not activated Digital Alarm,LP01
2023-10-09 오후 4:30,LP01,[Sensor]Light grid activated Digital Alarm,LP01
2023-10-09 오후 4:29,LP01,in manual from Robot Digital Alarm,LP01
2023-10-09 오후 4:28,LP01,[Sensor]Light grid activated Digital Alarm,LP01
2023-10-09 오후 4:25,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
