,Time / Date,Active Time/Date,Area,Description,Device
24,2023-09-04 오전 8:39,2023-09-04 오전 8:39,PC01,LC1009A  Safety Light Curtain Tripped  ,LC1009A             
25,2023-09-04 오전 8:38,2023-09-04 오전 8:38,PC01,LC1013A  Safety Light Curtain Tripped  ,LC1013A             
673,2023-09-04 오전 3:53,2023-09-04 오전 3:53,PC01,ST11301 STOP Button Activated  ,ST11301             
731,2023-09-04 오전 2:09,2023-09-04 오전 2:09,PC01,P1123  Pallet Mover Sensor Fault  ,P1123               
754,2023-09-04 오전 12:44,2023-09-04 오전 12:44,PC01,"ESS Level3 Has Fault, Go to see details  ",ESS_L3              
791,2023-09-04 오전 12:36,2023-09-04 오전 12:36,PC01,"ESS Level3 Has Fault, Go to see details  ",ESS_L3              
2013,2023-09-02 오후 11:51,2023-09-02 오후 11:51,PC01,P1211 LPA Not Online  ,P1211_LPA           
2036,2023-09-02 오후 11:43,2023-09-02 오후 11:43,PC01,P1211 Running Low On One Or More Consumable(s)  ,P1211_LPA           
2043,2023-09-02 오후 11:42,2023-09-02 오후 11:42,PC01,P1211 LPA Not Online  ,P1211_LPA           
2044,2023-09-02 오후 11:42,2023-09-02 오후 11:42,PC01,P1211 LPA Faulted - See Device For Details  ,P1211_LPA           
2069,2023-09-02 오후 11:37,2023-09-02 오후 11:37,PC01,P1211 LPA Not Online  ,P1211_LPA           
2070,2023-09-02 오후 11:37,2023-09-02 오후 11:37,PC01,P1211 LPA Faulted - See Device For Details  ,P1211_LPA           
2631,2023-09-02 오후 9:34,2023-09-02 오후 9:34,PC01,P1211 LPA Not Online  ,P1211_LPA           
2632,2023-09-02 오후 9:34,2023-09-02 오후 9:34,PC01,P1211 LPA Faulted - See Device For Details  ,P1211_LPA           
2731,2023-09-02 오후 9:23,2023-09-02 오후 9:23,PC01,Invalid header received from WCS. (Return Code BF)  ,DCI_LCS             
3193,2023-09-02 오후 8:22,2023-09-02 오후 8:22,PC01,LC1029A  Safety Light Curtain Tripped  ,LC1029A             
3636,2023-09-02 오후 7:33,2023-09-02 오후 7:33,PC01,P1211 LPA Not Online  ,P1211_LPA           
3637,2023-09-02 오후 7:33,2023-09-02 오후 7:33,PC01,P1211 LPA Faulted - See Device For Details  ,P1211_LPA           
3725,2023-09-02 오후 7:10,2023-09-02 오후 7:10,PC01,P1001 End Transfer PE Fault  ,P1001               
3726,2023-09-02 오후 7:10,2023-09-02 오후 7:10,PC01,P1002 End Transfer PE Fault  ,P1002               
3794,2023-09-02 오후 6:54,2023-09-02 오후 6:54,PC01,LC1013A  Safety Light Curtain Tripped  ,LC1013A             
4388,2023-09-02 오후 5:28,2023-09-02 오후 5:28,PC01,P1202 End Transfer PE Fault  ,P1202               
4389,2023-09-02 오후 5:28,2023-09-02 오후 5:28,PC01,P1203 End Transfer PE Fault  ,P1203               
6883,2023-09-02 오전 10:24,2023-09-02 오전 10:24,PC01,P1028  Jog Mode Selected  ,P1028               
6884,2023-09-02 오전 10:24,2023-09-02 오전 10:24,PC01,P1033 Position 01 PE Blocked whilst  Unoccupied Fault  ,P1033               
7293,2023-09-02 오전 7:33,2023-09-02 오전 7:33,PC01,ST11301 STOP Button Activated  ,ST11301             
7296,2023-09-02 오전 7:33,2023-09-02 오전 7:33,PC01,ST11301 STOP Button Activated  ,ST11301             
7299,2023-09-02 오전 7:33,2023-09-02 오전 7:33,PC01,ST11301 STOP Button Activated  ,ST11301             
7306,2023-09-02 오전 7:33,2023-09-02 오전 7:33,PC01,ST11301 STOP Button Activated  ,ST11301             
7311,2023-09-02 오전 7:32,2023-09-02 오전 7:32,PC01,ST11301 STOP Button Activated  ,ST11301             
7314,2023-09-02 오전 7:32,2023-09-02 오전 7:32,PC01,ST11301 STOP Button Activated  ,ST11301             
7317,2023-09-02 오전 7:32,2023-09-02 오전 7:32,PC01,ST11301 STOP Button Activated  ,ST11301             
7320,2023-09-02 오전 7:32,2023-09-02 오전 7:32,PC01,ST11301 STOP Button Activated  ,ST11301             
7321,2023-09-02 오전 7:31,2023-09-02 오전 7:31,PC01,P1130 End Transfer PE Fault  ,P1130               
7322,2023-09-02 오전 7:31,2023-09-02 오전 7:31,PC01,P1131 End Transfer PE Fault  ,P1131               
7345,2023-09-02 오전 7:18,2023-09-02 오전 7:18,PC01,ST11301 STOP Button Activated  ,ST11301             
7369,2023-09-02 오전 7:12,2023-09-02 오전 7:12,PC01,ST11301 STOP Button Activated  ,ST11301             
7372,2023-09-02 오전 7:12,2023-09-02 오전 7:12,PC01,ST11301 STOP Button Activated  ,ST11301             
7379,2023-09-02 오전 7:12,2023-09-02 오전 7:12,PC01,ST11301 STOP Button Activated  ,ST11301             
7383,2023-09-02 오전 7:11,2023-09-02 오전 7:11,PC01,ST11301 STOP Button Activated  ,ST11301             
7393,2023-09-02 오전 7:11,2023-09-02 오전 7:11,PC01,ST11301 STOP Button Activated  ,ST11301             
7396,2023-09-02 오전 7:10,2023-09-02 오전 7:10,PC01,ST11301 STOP Button Activated  ,ST11301             
7411,2023-09-02 오전 7:06,2023-09-02 오전 7:06,PC01,ST11301 STOP Button Activated  ,ST11301             
7415,2023-09-02 오전 7:05,2023-09-02 오전 7:05,PC01,ST11301 STOP Button Activated  ,ST11301             
7424,2023-09-02 오전 7:04,2023-09-02 오전 7:04,PC01,P1130 End Transfer PE Fault  ,P1130               
7425,2023-09-02 오전 7:04,2023-09-02 오전 7:04,PC01,P1131 End Transfer PE Fault  ,P1131               
7970,2023-09-02 오전 5:47,2023-09-02 오전 5:47,PC01,ST11301 STOP Button Activated  ,ST11301             
7977,2023-09-02 오전 5:47,2023-09-02 오전 5:47,PC01,ST11301 STOP Button Activated  ,ST11301             
7980,2023-09-02 오전 5:47,2023-09-02 오전 5:47,PC01,ST11301 STOP Button Activated  ,ST11301             
