,Time / Date,Active Time/Date,Area,Description,Device
25,2023-09-01 오전 8:52,2023-09-01 오전 8:52,UL01,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 1  OK ,                    
26,2023-09-01 오전 8:52,2023-09-01 오전 8:52,UL01,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 1  OK ,                    
27,2023-09-01 오전 8:51,2023-09-01 오전 8:51,UL01,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 1  OK ,                    
28,2023-09-01 오전 8:51,2023-09-01 오전 8:51,UL01,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 1  OK ,                    
90,2023-09-01 오전 8:42,2023-09-01 오전 8:41,UL01,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 1  OK ,                    
91,2023-09-01 오전 8:42,2023-09-01 오전 8:41,UL01,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 1  OK ,                    
96,2023-09-01 오전 8:41,2023-09-01 오전 8:41,UL01,200102 SRM Logging Tool is not connected to the PLC | Aisle 1  ,                    
97,2023-09-01 오전 8:41,2023-09-01 오전 8:36,UL01,200102 SRM Logging Tool is not connected to the PLC | Aisle 1  OK ,                    
98,2023-09-01 오전 8:41,2023-09-01 오전 8:36,UL01,200102 SRM Logging Tool is not connected to the PLC | Aisle 1  OK ,                    
115,2023-09-01 오전 8:41,2023-09-01 오전 8:41,UL01,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 1  OK ,                    
116,2023-09-01 오전 8:41,2023-09-01 오전 8:41,UL01,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 1  OK ,                    
119,2023-09-01 오전 8:40,2023-09-01 오전 8:40,UL01,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 1  OK ,                    
120,2023-09-01 오전 8:40,2023-09-01 오전 8:40,UL01,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 1  OK ,                    
122,2023-09-01 오전 8:40,2023-09-01 오전 8:40,UL01,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 1  OK ,                    
128,2023-09-01 오전 8:39,2023-09-01 오전 8:39,UL01,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 1  OK ,                    
129,2023-09-01 오전 8:39,2023-09-01 오전 8:39,UL01,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 1  OK ,                    
132,2023-09-01 오전 8:39,2023-09-01 오전 8:39,UL01,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 1  OK ,                    
133,2023-09-01 오전 8:39,2023-09-01 오전 8:39,UL01,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 1  OK ,                    
145,2023-09-01 오전 8:36,2023-09-01 오전 8:36,UL01,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 1  OK ,                    
