Time / Date,Area,Description,Device
2023-11-16 오전 8:21,PC02,EZ14 ESTOP S15 reset required,                    
2023-11-16 오전 8:20,PC02,P2138 Conveyor Movimot Drive Fault,P2138               
2023-11-16 오전 8:20,PC02,P2139 Conveyor Movimot Drive Fault,P2139               
2023-11-16 오전 8:20,PC02,P2103A Pallet Stacker Fault - Error code102,P2103A              
2023-11-16 오전 8:20,PC02,P2115A Pallet Stacker Fault - Error code102,P2115A              
2023-11-16 오전 8:20,PC02,WEST Shuttle car - Unit Control Fault - Error code 25,SC_Car_WEST         
2023-11-16 오전 8:20,PC02,EZ14 ESTOP S15 Activated,EZ14                
2023-11-16 오전 7:52,PC02,"P2595 Slipsheet Jam, Need Attention",                    
2023-11-16 오전 7:51,PC02,P2596 Conveyor Movimot Drive Fault,P2596               
2023-11-16 오전 7:48,PC02,P2596 Conveyor Movimot Drive Fault,P2596               
2023-11-16 오전 7:29,PC02,"P2595 Slipsheet Jam, Need Attention",                    
2023-11-16 오전 1:34,PC02,EZ12A_CC3_IncomingInterlock INTERLOCK reset required,                    
2023-11-16 오전 1:33,PC02,EZ12A_CC3_IncomingInterlock INTERLOCK Activated,EZ12A_CC3_IncomingIn
2023-11-15 오후 9:04,PC02,EZ12A TB30002 GATE S06 reset required,                    
2023-11-15 오후 9:04,PC02,EZ12A Tripped,                    
2023-11-15 오후 9:04,PC02,EZ12A TB30002 GATE S06 Activated,EZ12A               
2023-11-15 오후 9:01,PC02,TOP Shuttle car - Unit Control Fault - Error code 50,SC_Car_TOP          
2023-11-15 오후 8:35,PC02,P2127A Stretch Wrapper Fault,FSM_SW_DB           
2023-11-15 오후 7:26,PC02,"P2597 Slipsheet Jam, Need Attention",                    
2023-11-15 오후 7:26,PC02,"P2596 Slipsheet Jam, Need Attention",                    
