Time / Date,Area,Description,Device
2023-10-05 오전 10:33,PC03,Invalid header received from WCS. (Return Code BF),DCI_LCS             
2023-10-05 오전 10:18,PC03,ErgoPall Not Ready,ErgoPall            
2023-10-05 오전 10:18,PC03,ErgoPall Not Ready,ErgoPall            
2023-10-05 오전 10:18,PC03,ErgoPall Not Ready,ErgoPall            
2023-10-05 오전 10:18,PC03,ErgoPall Not Ready,ErgoPall            
2023-10-05 오전 10:17,PC03,ErgoPall Not Ready,ErgoPall            
2023-10-05 오전 10:17,PC03,ErgoPall Not Ready,ErgoPall            
2023-10-05 오전 10:04,PC03,ErgoPall Profinet Coupler Comms Heartbeat Timeout,ErgoPall            
2023-10-05 오전 10:03,PC03,ErgoPall Estop,ErgoPall            
2023-10-05 오전 10:03,PC03,ErgoPall Not Ready,ErgoPall            
2023-10-05 오전 10:02,PC03,ErgoPall Not Ready,ErgoPall            
2023-10-05 오전 9:39,PC03,P2217 Conveyor Movimot Drive M01 Fault,P2217               
2023-10-05 오전 9:39,PC03,ErgoPall Not Ready,ErgoPall            
2023-10-05 오전 9:39,PC03,ErgoPall Not Ready,ErgoPall            
2023-10-05 오전 9:38,PC03,P2217 Conveyor Movimot Drive M01 Fault,P2217               
2023-10-05 오전 9:33,PC03,Invalid header received from WCS. (Return Code BF),DCI_LCS             
2023-10-05 오전 8:33,PC03,Invalid header received from WCS. (Return Code BF),DCI_LCS             
2023-10-05 오전 7:33,PC03,Invalid header received from WCS. (Return Code BF),DCI_LCS             
2023-10-05 오전 6:33,PC03,Invalid header received from WCS. (Return Code BF),DCI_LCS             
2023-10-05 오전 6:28,PC03,P2217 Conveyor Movimot Drive M01 Fault,P2217               
2023-10-05 오전 6:13,PC03,P2220 Conveyor Movimot Drive M01 Fault,P2220               
2023-10-05 오전 4:36,PC03,P2217 Conveyor Movimot Drive M01 Fault,P2217               
2023-10-05 오전 4:36,PC03,EZ19 ESTOP S03 reset required,                    
2023-10-05 오전 4:36,PC03,EZ19 ESTOP S03 Activated,EZ19                
2023-10-05 오전 4:36,PC03,EZ19 ESTOP S03 reset required,                    
2023-10-05 오전 4:36,PC03,EZ19 ESTOP S03 Activated,EZ19                
2023-10-05 오전 4:36,PC03,Gate_ErgoPallopen,Gate_ErgoPall       
2023-10-05 오전 4:35,PC03,EZ19 ESTOP S03 reset required,                    
2023-10-05 오전 4:33,PC03,Invalid header received from WCS. (Return Code BF),DCI_LCS             
2023-10-05 오전 4:32,PC03,P2231 Q04 Pallet transfer run time fault,P2231               
2023-10-05 오전 4:30,PC03,Gate_ErgoPall has been opened too long,Gate_ErgoPall       
2023-10-05 오전 4:30,PC03,Gate_ErgoPallopen,Gate_ErgoPall       
2023-10-05 오전 4:29,PC03,ErgoPall Profinet Coupler Comms Heartbeat Timeout,ErgoPall            
2023-10-05 오전 4:29,PC03,EZ19 ESTOP S03 Activated,EZ19                
2023-10-05 오전 4:29,PC03,Gate_ErgoPall has been opened too long,Gate_ErgoPall       
2023-10-05 오전 4:28,PC03,EZ19 ESTOP S03 reset required,                    
2023-10-05 오전 4:28,PC03,EZ19 ESTOP S03 Activated,EZ19                
2023-10-05 오전 4:28,PC03,EZ19 ESTOP S03 reset required,                    
2023-10-05 오전 4:28,PC03,ErgoPall Estop,ErgoPall            
2023-10-05 오전 4:28,PC03,EZ19 Tripped,                    
2023-10-05 오전 4:28,PC03,EZ19 ESTOP S03 Activated,EZ19                
2023-10-05 오전 4:28,PC03,Gate_ErgoPallopen,Gate_ErgoPall       
2023-10-05 오전 3:48,PC03,EZ19 ESTOP S03 reset required,                    
2023-10-05 오전 3:47,PC03,Gate_ErgoPall has been opened too long,Gate_ErgoPall       
2023-10-05 오전 3:46,PC03,EZ19 ESTOP S03 Activated,EZ19                
2023-10-05 오전 3:46,PC03,Gate_ErgoPallopen,Gate_ErgoPall       
2023-10-05 오전 3:46,PC03,EZ19 ESTOP S03 reset required,                    
2023-10-05 오전 3:44,PC03,Gate_ErgoPall has been opened too long,Gate_ErgoPall       
2023-10-05 오전 3:43,PC03,Gate_ErgoPallopen,Gate_ErgoPall       
2023-10-05 오전 3:43,PC03,P2217 Conveyor Movimot Drive M01 Fault,P2217               
2023-10-05 오전 3:43,PC03,P2264 Q03 Pallet transfer run time fault,P2264               
2023-10-05 오전 3:43,PC03,P2217 Conveyor Movimot Drive M01 Fault,P2217               
2023-10-05 오전 3:42,PC03,P2217 Conveyor Movimot Drive M01 Fault,P2217               
2023-10-05 오전 3:42,PC03,ErgoPall Profinet Coupler Comms Heartbeat Timeout,ErgoPall            
2023-10-05 오전 3:42,PC03,Gate_ErgoPall has been opened too long,Gate_ErgoPall       
2023-10-05 오전 3:42,PC03,EZ19 ESTOP S03 Activated,EZ19                
2023-10-05 오전 3:42,PC03,EZ19 Tripped,                    
2023-10-05 오전 3:42,PC03,Gate_ErgoPallopen,Gate_ErgoPall       
2023-10-05 오전 3:38,PC03,P2264 Q03 Pallet transfer run time fault,P2264               
2023-10-05 오전 3:37,PC03,P2217 Conveyor Movimot Drive M01 Fault,P2217               
2023-10-05 오전 3:36,PC03,EZ19 ESTOP S03 reset required,                    
2023-10-05 오전 3:34,PC03,EZ19 ESTOP S03 Activated,EZ19                
2023-10-05 오전 3:34,PC03,EZ19 ESTOP S03 reset required,                    
2023-10-05 오전 3:33,PC03,Invalid header received from WCS. (Return Code BF),DCI_LCS             
2023-10-05 오전 3:17,PC03,P2231 Q04 Pallet transfer run time fault,P2231               
2023-10-05 오전 3:13,PC03,Gate_ErgoPall has been opened too long,Gate_ErgoPall       
2023-10-05 오전 3:13,PC03,EZ19 Tripped,                    
2023-10-05 오전 3:13,PC03,ErgoPall Estop,ErgoPall            
2023-10-05 오전 3:13,PC03,EZ19 ESTOP S03 Activated,EZ19                
2023-10-05 오전 3:12,PC03,Gate_ErgoPallopen,Gate_ErgoPall       
2023-10-05 오전 3:11,PC03,ErgoPall Not Ready,ErgoPall            
2023-10-05 오전 2:33,PC03,Invalid header received from WCS. (Return Code BF),DCI_LCS             
2023-10-05 오전 2:06,PC03,ErgoPall Not Ready,ErgoPall            
2023-10-05 오전 1:57,PC03,ErgoPall Not Ready,ErgoPall            
2023-10-05 오전 1:33,PC03,Invalid header received from WCS. (Return Code BF),DCI_LCS             
2023-10-05 오전 12:33,PC03,Invalid header received from WCS. (Return Code BF),DCI_LCS             
2023-10-04 오후 11:33,PC03,Invalid header received from WCS. (Return Code BF),DCI_LCS             
2023-10-04 오후 11:26,PC03,P2217 Conveyor Movimot Drive M01 Fault,P2217               
2023-10-04 오후 11:25,PC03,P2217 Conveyor Movimot Drive M01 Fault,P2217               
2023-10-04 오후 11:24,PC03,LC2256ASafety Light Curtain Tripped,LC2256A             
2023-10-04 오후 11:24,PC03,EZ18 Tripped,                    
2023-10-04 오후 11:22,PC03,P2255 Start Transfer PE Fault,P2255               
2023-10-04 오후 10:42,PC03,ErgoPall Not Ready,ErgoPall            
2023-10-04 오후 10:35,PC03,EZ19 ESTOP S03 reset required,                    
2023-10-04 오후 10:35,PC03,EZ19 Tripped,                    
2023-10-04 오후 10:35,PC03,ErgoPall Estop,ErgoPall            
2023-10-04 오후 10:35,PC03,EZ19 ESTOP S03 Activated,EZ19                
2023-10-04 오후 10:35,PC03,Gate_ErgoPallopen,Gate_ErgoPall       
2023-10-04 오후 10:33,PC03,Invalid header received from WCS. (Return Code BF),DCI_LCS             
2023-10-04 오후 10:10,PC03,ErgoPall Not Ready,ErgoPall            
2023-10-04 오후 8:33,PC03,Invalid header received from WCS. (Return Code BF),DCI_LCS             
2023-10-04 오후 7:33,PC03,Invalid header received from WCS. (Return Code BF),DCI_LCS             
2023-10-04 오후 6:33,PC03,Invalid header received from WCS. (Return Code BF),DCI_LCS             
