Time / Date,Area,Description,Device
2023-11-22 오전 7:26,CC05,Fault data without occupation Digital Alarm,P2559
2023-11-22 오전 7:26,CC05,Fault occupied without data Digital Alarm,P2558
2023-11-22 오전 5:09,CC05,Jam or sensor fault Digital Alarm,P2664_Z1
2023-11-22 오전 5:09,CC05,Jam or sensor fault Digital Alarm,P2664_Z1
2023-11-22 오전 3:05,CC05,Fault occupied without data Digital Alarm,P2570
2023-11-21 오후 8:43,CC05,Jam or sensor fault Digital Alarm,P2664_Z1
2023-11-21 오후 8:42,CC05,Fault data without occupation Digital Alarm,P2664_Z1
2023-11-21 오후 8:42,CC05,Fault data without occupation Digital Alarm,P2664_Z1
2023-11-21 오후 8:40,CC05,Fault data without occupation Digital Alarm,P2664_Z1
2023-11-21 오후 7:10,CC05,Fault occupied without data Digital Alarm,P2565
2023-11-21 오후 7:07,CC05,Fault occupied without data Digital Alarm,P2564
2023-11-21 오후 7:07,CC05,Fault occupied without data Digital Alarm,P2563
2023-11-21 오후 6:56,CC05,Fault occupied without data Digital Alarm,P2562
