Time / Date,Area,Description,Device
2023-10-09 오전 10:34,CC05,Jam or sensor fault Digital Alarm,P2491
2023-10-09 오전 9:55,CC05,Fault occupied without data Digital Alarm,P2566
2023-10-09 오전 9:47,CC05,Fault occupied without data Digital Alarm,P2569
2023-10-09 오전 9:11,CC05,Fault data without occupation Digital Alarm,P2552
2023-10-09 오전 8:42,CC05,Fault occupied without data Digital Alarm,P2574
2023-10-09 오전 8:42,CC05,Fault occupied without data Digital Alarm,P2569
2023-10-09 오전 8:41,CC05,Fault occupied without data Digital Alarm,P2567
2023-10-09 오전 8:41,CC05,Fault occupied without data Digital Alarm,P2565
2023-10-09 오전 8:41,CC05,Drive reference fault Digital Alarm,P2568
2023-10-09 오전 8:41,CC05,Fault occupied without data Digital Alarm,P2564
2023-10-09 오전 8:41,CC05,Fault occupied without data Digital Alarm,P2563
2023-10-09 오전 8:41,CC05,Fault occupied without data Digital Alarm,P2566
2023-10-09 오전 8:40,CC05,Fault occupied without data Digital Alarm,P2568
2023-10-09 오전 8:40,CC05,Fault occupied without data Digital Alarm,P2562
2023-10-09 오전 8:39,CC05,Fault occupied without data Digital Alarm,P2565
2023-10-09 오전 8:39,CC05,Fault occupied without data Digital Alarm,P2564
2023-10-09 오전 8:39,CC05,Fault occupied without data Digital Alarm,P2563
2023-10-09 오전 8:38,CC05,Fault occupied without data Digital Alarm,P2562
2023-10-09 오전 8:38,CC05,Fault occupied without data Digital Alarm,P2563
2023-10-09 오전 8:32,CC05,Fault occupied without data Digital Alarm,P2564
2023-10-09 오전 8:21,CC05,Jam or sensor fault Digital Alarm,P2552
2023-10-09 오전 8:18,CC05,Fault data without occupation Digital Alarm,P2553
2023-10-09 오전 7:53,CC05,Fault occupied without data Digital Alarm,P2568
2023-10-09 오전 7:52,CC05,Fault occupied without data Digital Alarm,P2571
2023-10-09 오전 7:52,CC05,Fault data without occupation Digital Alarm,P2569
2023-10-09 오전 7:52,CC05,Drive reference fault Digital Alarm,P2568
2023-10-09 오전 7:51,CC05,Fault occupied without data Digital Alarm,P2566
2023-10-09 오전 7:39,CC05,Fault data without occupation Digital Alarm,P2552
2023-10-07 오후 4:07,CC05,Fault data without occupation Digital Alarm,P2564
2023-10-07 오후 3:54,CC05,Fault occupied without data Digital Alarm,P2575A_CNV
2023-10-07 오후 3:40,CC05,External fault Digital Alarm,P2552
2023-10-07 오후 3:37,CC05,Fault data without occupation Digital Alarm,P2553
2023-10-07 오후 3:36,CC05,External fault Digital Alarm,P2552
2023-10-07 오후 3:35,CC05,Fault data without occupation Digital Alarm,P2552
2023-10-07 오후 3:29,CC05,Fault data without occupation Digital Alarm,P2553
2023-10-07 오후 3:28,CC05,Jam or sensor fault Digital Alarm,P2552
2023-10-07 오후 3:28,CC05,Jam or sensor fault Digital Alarm,P2552
2023-10-07 오후 3:27,CC05,Jam or sensor fault Digital Alarm,P2552
2023-10-07 오후 3:25,CC05,Jam or sensor fault Digital Alarm,P2552
2023-10-07 오후 3:18,CC05,Jam or sensor fault Digital Alarm,P2551
2023-10-07 오후 3:13,CC05,Jam or sensor fault Digital Alarm,P2551
2023-10-07 오전 10:45,CC05,Fault occupied without data Digital Alarm,P2555
