,Time / Date,Active Time/Date,Area,Description,Device
2,2023-09-01 오전 8:59,2023-09-01 오전 8:59,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
3,2023-09-01 오전 8:59,2023-09-01 오전 8:59,LP01,[Robot]LG has been activated during move_Layer dropped Digital Alarm,LP01
8,2023-09-01 오전 8:57,2023-09-01 오전 8:56,LP01,Timeout - Deposit position not ready  OK ,LP01
9,2023-09-01 오전 8:57,2023-09-01 오전 8:56,LP01,Timeout - Deposit position not ready  OK ,LP01
14,2023-09-01 오전 8:56,2023-09-01 오전 8:56,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
16,2023-09-01 오전 8:55,2023-09-01 오전 8:55,LP01,Timeout - Deposit position not ready  OK ,LP01
19,2023-09-01 오전 8:55,2023-09-01 오전 8:55,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
126,2023-09-01 오전 8:39,2023-09-01 오전 8:36,LP01,Timeout - Deposit position not ready  OK ,LP01
127,2023-09-01 오전 8:39,2023-09-01 오전 8:36,LP01,Timeout - Deposit position not ready  OK ,LP01
154,2023-09-01 오전 8:36,2023-09-01 오전 8:36,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
190,2023-09-01 오전 8:33,2023-09-01 오전 8:33,LP01,Timeout - Deposit position not ready  OK ,LP01
191,2023-09-01 오전 8:33,2023-09-01 오전 8:33,LP01,Timeout - Deposit position not ready  OK ,LP01
192,2023-09-01 오전 8:33,2023-09-01 오전 8:33,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
207,2023-09-01 오전 8:31,2023-09-01 오전 8:30,LP01,Timeout - Deposit position not ready  OK ,LP01
208,2023-09-01 오전 8:31,2023-09-01 오전 8:30,LP01,Timeout - Deposit position not ready  OK ,LP01
211,2023-09-01 오전 8:30,2023-09-01 오전 8:30,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
248,2023-09-01 오전 8:26,2023-09-01 오전 8:26,LP01,Timeout - Deposit position not ready  OK ,LP01
249,2023-09-01 오전 8:26,2023-09-01 오전 8:26,LP01,Timeout - Deposit position not ready  OK ,LP01
250,2023-09-01 오전 8:26,2023-09-01 오전 8:26,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
263,2023-09-01 오전 8:25,2023-09-01 오전 8:24,LP01,Timeout - Deposit position not ready  OK ,LP01
268,2023-09-01 오전 8:24,2023-09-01 오전 8:24,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
300,2023-09-01 오전 8:22,2023-09-01 오전 8:20,LP01,Timeout - Deposit position not ready  OK ,LP01
301,2023-09-01 오전 8:22,2023-09-01 오전 8:20,LP01,Timeout - Deposit position not ready  OK ,LP01
309,2023-09-01 오전 8:20,2023-09-01 오전 8:20,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
874,2023-09-01 오전 5:35,2023-09-01 오전 5:33,LP01,Timeout - Deposit position not ready  OK ,LP01
875,2023-09-01 오전 5:35,2023-09-01 오전 5:33,LP01,Timeout - Deposit position not ready  OK ,LP01
884,2023-09-01 오전 5:33,2023-09-01 오전 5:33,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
892,2023-09-01 오전 5:30,2023-09-01 오전 5:30,LP01,Timeout - Deposit position not ready  OK ,LP01
893,2023-09-01 오전 5:30,2023-09-01 오전 5:30,LP01,Timeout - Deposit position not ready  OK ,LP01
894,2023-09-01 오전 5:30,2023-09-01 오전 5:30,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
900,2023-09-01 오전 5:28,2023-09-01 오전 5:23,LP01,Timeout - Deposit position not ready  OK ,LP01
901,2023-09-01 오전 5:28,2023-09-01 오전 5:23,LP01,Timeout - Deposit position not ready  OK ,LP01
932,2023-09-01 오전 5:23,2023-09-01 오전 5:23,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
940,2023-09-01 오전 5:22,2023-09-01 오전 5:22,LP01,Timeout - Deposit position not ready  OK ,LP01
941,2023-09-01 오전 5:22,2023-09-01 오전 5:22,LP01,Timeout - Deposit position not ready  OK ,LP01
942,2023-09-01 오전 5:22,2023-09-01 오전 5:22,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
943,2023-09-01 오전 5:21,2023-09-01 오전 5:20,LP01,Timeout - Deposit position not ready  OK ,LP01
944,2023-09-01 오전 5:21,2023-09-01 오전 5:20,LP01,Timeout - Deposit position not ready  OK ,LP01
945,2023-09-01 오전 5:20,2023-09-01 오전 5:20,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
974,2023-09-01 오전 5:17,2023-09-01 오전 5:17,LP01,Timeout - Deposit position not ready  OK ,LP01
975,2023-09-01 오전 5:17,2023-09-01 오전 5:17,LP01,Timeout - Deposit position not ready  OK ,LP01
979,2023-09-01 오전 5:17,2023-09-01 오전 5:17,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
