Time / Date,Area,Description,Device
2023-11-22 오전 4:58,UL03,100115 Door 1 is open while SRM is operating | Aisle 3,                    
2023-11-22 오전 4:58,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3,                    
2023-11-21 오후 7:54,UL03,100115 Door 1 is open while SRM is operating | Aisle 3,                    
