Time / Date,Area,Description,Device
2023-11-16 오전 8:53,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3,                    
2023-11-16 오전 7:03,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3,                    
2023-11-16 오전 3:22,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3,                    
2023-11-16 오전 1:04,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3,                    
2023-11-15 오후 6:22,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3,                    
