Time / Date,Area,Description,Device
2023-09-27 오전 3:37,CC05,Fault data without occupation Digital Alarm,P2683
2023-09-27 오전 3:37,CC05,Fault occupied without data Digital Alarm,P2681
2023-09-27 오전 1:02,CC05,Jam or sensor fault Digital Alarm,P2664_Z1
2023-09-27 오전 12:34,CC05,Jam or sensor fault Digital Alarm,P2664_Z1
2023-09-27 오전 12:06,CC05,Jam or sensor fault Digital Alarm,P2664_Z1
2023-09-26 오후 10:32,CC05,Frequency Inverter fault Digital Alarm,P2575B_PSH
2023-09-26 오후 10:26,CC05,Frequency Inverter fault Digital Alarm,P2575B_PSH
2023-09-26 오후 10:24,CC05,Fault data without occupation Digital Alarm,P2559
2023-09-26 오후 10:21,CC05,Fault data without occupation Digital Alarm,P2559
2023-09-26 오후 10:16,CC05,Fault occupied without data Digital Alarm,P2561
2023-09-26 오후 10:16,CC05,Fault occupied without data Digital Alarm,P2560
2023-09-26 오후 10:16,CC05,Fault occupied without data Digital Alarm,P2559
2023-09-26 오후 10:06,CC05,Fault occupied without data Digital Alarm,P2575A_CNV
2023-09-26 오후 9:56,CC05,Fault occupied without data Digital Alarm,P2575A_CNV
2023-09-26 오후 9:41,CC05,Fault data without occupation Digital Alarm,P2581
2023-09-26 오후 9:41,CC05,Frequency Inverter fault Digital Alarm,P2575B_PSH
2023-09-26 오후 9:26,CC05,Fault data without occupation Digital Alarm,P2564
2023-09-26 오후 9:20,CC05,Fault occupied without data Digital Alarm,P2578
2023-09-26 오후 9:11,CC05,Fault occupied without data Digital Alarm,P2561
2023-09-26 오후 9:09,CC05,Fault occupied without data Digital Alarm,P2561
2023-09-26 오후 9:09,CC05,Fault occupied without data Digital Alarm,P2560
2023-09-26 오후 9:07,CC05,Fault occupied without data Digital Alarm,P2562
2023-09-26 오후 8:52,CC05,more than time without result Digital Alarm,P2569_DIM
2023-09-26 오후 8:51,CC05,Height measure very dirty Digital Alarm,P2569_DIM
2023-09-26 오후 8:32,CC05,Fault occupied without data Digital Alarm,P2557
2023-09-26 오후 8:32,CC05,Fault data without occupation Digital Alarm,P2570
2023-09-26 오후 8:32,CC05,Fault occupied without data Digital Alarm,P2569
2023-09-26 오후 8:18,CC05,Fault occupied without data Digital Alarm,P2564
2023-09-26 오후 8:07,CC05,Fault occupied without data Digital Alarm,P2555
2023-09-26 오후 7:58,CC05,Fault occupied without data Digital Alarm,P2565
2023-09-26 오후 7:52,CC05,Fault occupied without data Digital Alarm,P2562
2023-09-26 오후 7:50,CC05,Jam or sensor fault Digital Alarm,P2664_Z1
2023-09-26 오후 7:43,CC05,Frequency Inverter fault Digital Alarm,P2575B_PSH
2023-09-26 오후 7:27,CC05,Frequency Inverter fault Digital Alarm,P2575B_PSH
2023-09-26 오후 7:15,CC05,Fault data without occupation Digital Alarm,P2553
2023-09-26 오후 7:15,CC05,Fault occupied without data Digital Alarm,P2556
2023-09-26 오후 6:44,CC05,Fault data without occupation Digital Alarm,P2553
2023-09-26 오후 6:43,CC05,Frequency Inverter fault Digital Alarm,P2575B_PSH
2023-09-26 오후 6:33,CC05,Fault occupied without data Digital Alarm,P2556
2023-09-26 오후 6:06,CC05,Fault occupied without data Digital Alarm,P2562
2023-09-26 오후 6:02,CC05,Fault occupied without data Digital Alarm,P2562
2023-09-26 오후 5:49,CC05,more than time without result Digital Alarm,P2569_DIM
2023-09-26 오후 5:49,CC05,Height measure very dirty Digital Alarm,P2569_DIM
2023-09-26 오후 5:04,CC05,Fault data without occupation Digital Alarm,P2564
2023-09-26 오후 5:04,CC05,Jam or sensor fault Digital Alarm,P2565
2023-09-26 오후 5:03,CC05,Fault occupied without data Digital Alarm,P2555
2023-09-26 오후 5:01,CC05,Height measure very dirty Digital Alarm,P2569_DIM
2023-09-26 오후 5:01,CC05,more than time without result Digital Alarm,P2569_DIM
2023-09-26 오후 5:01,CC05,Fault occupied without data Digital Alarm,P2564
2023-09-26 오후 5:01,CC05,Fault occupied without data Digital Alarm,P2555
