,Time / Date,Active Time/Date,Area,Description,Device
291,2023-09-05 오전 8:16,2023-09-05 오전 8:16,PC01,P1120 Q04 Pallet transfer run time fault  ,P1120               
296,2023-09-05 오전 8:15,2023-09-05 오전 8:15,PC01,ST11291 STOP Button Activated  ,ST11291             
297,2023-09-05 오전 8:15,2023-09-05 오전 8:15,PC01,P1120 Q04 Pallet transfer run time fault  ,P1120               
300,2023-09-05 오전 8:15,2023-09-05 오전 8:15,PC01,ST11121 STOP Button Activated  ,ST11121             
305,2023-09-05 오전 8:15,2023-09-05 오전 8:15,PC01,P1120 Q04 Pallet transfer run time fault  ,P1120               
308,2023-09-05 오전 8:14,2023-09-05 오전 8:14,PC01,ST11291 STOP Button Activated  ,ST11291             
311,2023-09-05 오전 8:13,2023-09-05 오전 8:13,PC01,ST11291 STOP Button Activated  ,ST11291             
321,2023-09-05 오전 8:10,2023-09-05 오전 8:10,PC01,ST11291 STOP Button Activated  ,ST11291             
324,2023-09-05 오전 8:09,2023-09-05 오전 8:09,PC01,ST11291 STOP Button Activated  ,ST11291             
327,2023-09-05 오전 8:09,2023-09-05 오전 8:09,PC01,ST11291 STOP Button Activated  ,ST11291             
330,2023-09-05 오전 8:08,2023-09-05 오전 8:08,PC01,ST11291 STOP Button Activated  ,ST11291             
390,2023-09-05 오전 7:52,2023-09-05 오전 7:51,PC01,P1123  Pallet Mover Sensor Fault  ,P1123               
396,2023-09-05 오전 7:51,2023-09-05 오전 7:51,PC01,P1123  Pallet Mover Sensor Fault  ,P1123               
492,2023-09-05 오전 7:13,2023-09-05 오전 7:13,PC01,ST11301 STOP Button Activated  ,ST11301             
504,2023-09-05 오전 7:13,2023-09-05 오전 7:13,PC01,P1130 End Transfer PE Fault  ,P1130               
505,2023-09-05 오전 7:13,2023-09-05 오전 7:13,PC01,P1131 End Transfer PE Fault  ,P1131               
626,2023-09-05 오전 6:16,2023-09-05 오전 6:16,PC01,ST11301 STOP Button Activated  ,ST11301             
633,2023-09-05 오전 6:16,2023-09-05 오전 6:16,PC01,P1130 End Transfer PE Fault  ,P1130               
634,2023-09-05 오전 6:16,2023-09-05 오전 6:16,PC01,P1131 End Transfer PE Fault  ,P1131               
974,2023-09-05 오전 5:16,2023-09-05 오전 5:16,PC01,ST11301 STOP Button Activated  ,ST11301             
990,2023-09-05 오전 5:14,2023-09-05 오전 5:14,PC01,P1130 End Transfer PE Fault  ,P1130               
991,2023-09-05 오전 5:14,2023-09-05 오전 5:14,PC01,P1131 End Transfer PE Fault  ,P1131               
1092,2023-09-05 오전 4:56,2023-09-05 오전 4:56,PC01,Pallet Lift1 Alarm  ,P1109               
1144,2023-09-05 오전 4:49,2023-09-05 오전 4:49,PC01,Pallet Lift1 Alarm  ,P1109               
1591,2023-09-05 오전 3:52,2023-09-05 오전 3:52,PC01,ST11301 STOP Button Activated  ,ST11301             
1600,2023-09-05 오전 3:49,2023-09-05 오전 3:49,PC01,P1130 Q01 Pallet transfer run time fault  ,P1130               
1617,2023-09-05 오전 3:44,2023-09-05 오전 3:44,PC01,P1131  Jog Mode Selected  ,P1131               
1626,2023-09-05 오전 3:43,2023-09-05 오전 3:43,PC01,P1132  Jog Mode Selected  ,P1132               
1629,2023-09-05 오전 3:42,2023-09-05 오전 3:42,PC01,P1131  Jog Mode Selected  ,P1131               
1632,2023-09-05 오전 3:42,2023-09-05 오전 3:42,PC01,P1132  Jog Mode Selected  ,P1132               
1635,2023-09-05 오전 3:42,2023-09-05 오전 3:42,PC01,P1132  Jog Mode Selected  ,P1132               
1638,2023-09-05 오전 3:41,2023-09-05 오전 3:41,PC01,P1133  Jog Mode Selected  ,P1133               
1643,2023-09-05 오전 3:38,2023-09-05 오전 3:38,PC01,ST11301 STOP Button Activated  ,ST11301             
1646,2023-09-05 오전 3:38,2023-09-05 오전 3:38,PC01,ST11301 STOP Button Activated  ,ST11301             
1649,2023-09-05 오전 3:38,2023-09-05 오전 3:38,PC01,ST11301 STOP Button Activated  ,ST11301             
1652,2023-09-05 오전 3:37,2023-09-05 오전 3:37,PC01,ST11301 STOP Button Activated  ,ST11301             
1655,2023-09-05 오전 3:37,2023-09-05 오전 3:37,PC01,ST11301 STOP Button Activated  ,ST11301             
1658,2023-09-05 오전 3:37,2023-09-05 오전 3:37,PC01,ST11331 STOP Button Activated  ,ST11331             
1661,2023-09-05 오전 3:37,2023-09-05 오전 3:37,PC01,ST11331 STOP Button Activated  ,ST11331             
1665,2023-09-05 오전 3:36,2023-09-05 오전 3:36,PC01,ST11331 STOP Button Activated  ,ST11331             
1668,2023-09-05 오전 3:36,2023-09-05 오전 3:36,PC01,ST11331 STOP Button Activated  ,ST11331             
1671,2023-09-05 오전 3:36,2023-09-05 오전 3:36,PC01,ST11331 STOP Button Activated  ,ST11331             
1675,2023-09-05 오전 3:36,2023-09-05 오전 3:36,PC01,ST11331 STOP Button Activated  ,ST11331             
1679,2023-09-05 오전 3:36,2023-09-05 오전 3:36,PC01,EZ07 ESTOP Cleared. Press Start to Restart.  ,EZ07                
1680,2023-09-05 오전 3:36,2023-09-05 오전 3:36,PC01,EZ07 Tripped  ,EZ07                
1681,2023-09-05 오전 3:36,2023-09-05 오전 3:36,PC01,EZ07 ESTOP 02 Activated  ,EZ07                
1684,2023-09-05 오전 3:36,2023-09-05 오전 3:36,PC01,ST11301 STOP Button Activated  ,ST11301             
1687,2023-09-05 오전 3:35,2023-09-05 오전 3:35,PC01,ST11301 STOP Button Activated  ,ST11301             
1692,2023-09-05 오전 3:35,2023-09-05 오전 3:35,PC01,ST11301 STOP Button Activated  ,ST11301             
1694,2023-09-05 오전 3:35,2023-09-05 오전 3:35,PC01,EZ07 ESTOP 01 Activated  ,EZ07                
1695,2023-09-05 오전 3:35,2023-09-05 오전 3:35,PC01,EZ07 Tripped  ,EZ07                
1697,2023-09-05 오전 3:35,2023-09-05 오전 3:35,PC01,EZ07 ESTOP Cleared. Press Start to Restart.  ,EZ07                
1702,2023-09-05 오전 3:35,2023-09-05 오전 3:35,PC01,EZ07 Tripped  ,EZ07                
1703,2023-09-05 오전 3:35,2023-09-05 오전 3:35,PC01,EZ07 ESTOP 01 Activated  ,EZ07                
1706,2023-09-05 오전 3:35,2023-09-05 오전 3:35,PC01,ST11301 STOP Button Activated  ,ST11301             
1709,2023-09-05 오전 3:35,2023-09-05 오전 3:35,PC01,ST11301 STOP Button Activated  ,ST11301             
1712,2023-09-05 오전 3:35,2023-09-05 오전 3:35,PC01,ST11301 STOP Button Activated  ,ST11301             
1715,2023-09-05 오전 3:34,2023-09-05 오전 3:34,PC01,ST11301 STOP Button Activated  ,ST11301             
1718,2023-09-05 오전 3:34,2023-09-05 오전 3:34,PC01,ST11301 STOP Button Activated  ,ST11301             
1721,2023-09-05 오전 3:33,2023-09-05 오전 3:33,PC01,ST11301 STOP Button Activated  ,ST11301             
