Time / Date,Area,Description,Device
2023-09-27 오전 8:47,PC03,Invalid header received from WCS. (Return Code BF),DCI_LCS             
2023-09-27 오전 7:57,PC03,P2217 Conveyor Movimot Drive M01 Fault,P2217               
2023-09-27 오전 7:52,PC03,P2272 Q03 Pallet transfer run time fault,P2272               
2023-09-27 오전 7:52,PC03,P2217 Conveyor Movimot Drive M01 Fault,P2217               
2023-09-27 오전 7:51,PC03,LC2273ASafety Light Curtain Tripped,LC2273A             
2023-09-27 오전 7:50,PC03,P2217 Conveyor Movimot Drive M01 Fault,P2217               
2023-09-27 오전 7:49,PC03,LC2271ASafety Light Curtain Tripped,LC2271A             
2023-09-27 오전 7:49,PC03,P2217 Conveyor Movimot Drive M01 Fault,P2217               
2023-09-27 오전 7:47,PC03,Invalid header received from WCS. (Return Code BF),DCI_LCS             
2023-09-27 오전 6:47,PC03,Invalid header received from WCS. (Return Code BF),DCI_LCS             
2023-09-27 오전 5:47,PC03,Invalid header received from WCS. (Return Code BF),DCI_LCS             
2023-09-27 오전 5:29,PC03,P2217 Conveyor Movimot Drive M01 Fault,P2217               
2023-09-27 오전 5:27,PC03,EZ19 ESTOP S03 reset required,                    
2023-09-27 오전 5:13,PC03,Gate_ErgoPall has been opened too long,Gate_ErgoPall       
2023-09-27 오전 5:12,PC03,EZ19 Tripped,                    
2023-09-27 오전 5:12,PC03,ErgoPall Estop,ErgoPall            
2023-09-27 오전 5:12,PC03,EZ19 ESTOP S03 Activated,EZ19                
2023-09-27 오전 5:12,PC03,Gate_ErgoPallopen,Gate_ErgoPall       
2023-09-27 오전 4:47,PC03,Invalid header received from WCS. (Return Code BF),DCI_LCS             
2023-09-27 오전 3:47,PC03,Invalid header received from WCS. (Return Code BF),DCI_LCS             
2023-09-27 오전 3:20,PC03,P2217 Conveyor Movimot Drive M01 Fault,P2217               
2023-09-27 오전 3:11,PC03,EZ19 ESTOP S03 reset required,                    
2023-09-27 오전 3:11,PC03,P2231 Q04 Pallet transfer run time fault,P2231               
2023-09-27 오전 3:07,PC03,Gate_ErgoPall has been opened too long,Gate_ErgoPall       
2023-09-27 오전 3:07,PC03,EZ19 Tripped,                    
2023-09-27 오전 3:07,PC03,ErgoPall Estop,ErgoPall            
2023-09-27 오전 3:07,PC03,EZ19 ESTOP S03 Activated,EZ19                
2023-09-27 오전 3:07,PC03,Gate_ErgoPallopen,Gate_ErgoPall       
2023-09-27 오전 2:47,PC03,Invalid header received from WCS. (Return Code BF),DCI_LCS             
2023-09-27 오전 2:46,PC03,P2217 Conveyor Movimot Drive M01 Fault,P2217               
2023-09-27 오전 2:21,PC03,P2217 Conveyor Movimot Drive M01 Fault,P2217               
2023-09-27 오전 2:21,PC03,P2203 Conveyor Movimot Drive M01 Fault,P2203               
2023-09-27 오전 2:21,PC03,P2203 Conveyor Movimot Drive M01 Fault,P2203               
2023-09-27 오전 2:21,PC03,P2217 Conveyor Movimot Drive M01 Fault,P2217               
2023-09-27 오전 2:13,PC03,LC2242ASafety Light Curtain Tripped,LC2242A             
2023-09-27 오전 2:13,PC03,EZ19 Tripped,                    
2023-09-27 오전 2:11,PC03,P2231 Q04 Pallet transfer run time fault,P2231               
2023-09-27 오전 1:59,PC03,LC2242ASafety Light Curtain Tripped,LC2242A             
2023-09-27 오전 1:59,PC03,EZ19 Tripped,                    
2023-09-27 오전 1:57,PC03,P2203 Conveyor Movimot Drive M01 Fault,P2203               
2023-09-27 오전 1:52,PC03,P2217 Conveyor Movimot Drive M01 Fault,P2217               
2023-09-27 오전 1:52,PC03,EZ19 ESTOP S03 reset required,                    
2023-09-27 오전 1:47,PC03,Invalid header received from WCS. (Return Code BF),DCI_LCS             
2023-09-27 오전 1:39,PC03,ErgoPall Profinet Coupler Comms Heartbeat Timeout,ErgoPall            
2023-09-27 오전 1:18,PC03,Gate_ErgoPall has been opened too long,Gate_ErgoPall       
2023-09-27 오전 1:17,PC03,EZ19 Tripped,                    
2023-09-27 오전 1:17,PC03,ErgoPall Estop,ErgoPall            
2023-09-27 오전 1:17,PC03,EZ19 ESTOP S03 Activated,EZ19                
2023-09-27 오전 1:17,PC03,Gate_ErgoPallopen,Gate_ErgoPall       
2023-09-27 오전 1:14,PC03,EZ19 ESTOP S03 reset required,                    
2023-09-27 오전 1:13,PC03,P2231 Q04 Pallet transfer run time fault,P2231               
2023-09-27 오전 1:11,PC03,Gate_ErgoPall has been opened too long,Gate_ErgoPall       
2023-09-27 오전 1:10,PC03,EZ19 Tripped,                    
2023-09-27 오전 1:10,PC03,ErgoPall Estop,ErgoPall            
2023-09-27 오전 1:10,PC03,EZ19 ESTOP S03 Activated,EZ19                
2023-09-27 오전 1:10,PC03,Gate_ErgoPallopen,Gate_ErgoPall       
2023-09-27 오전 1:03,PC03,ErgoPall Not Ready,ErgoPall            
2023-09-27 오전 12:47,PC03,Invalid header received from WCS. (Return Code BF),DCI_LCS             
2023-09-26 오후 11:47,PC03,Invalid header received from WCS. (Return Code BF),DCI_LCS             
2023-09-26 오후 10:47,PC03,Invalid header received from WCS. (Return Code BF),DCI_LCS             
2023-09-26 오후 9:47,PC03,Invalid header received from WCS. (Return Code BF),DCI_LCS             
2023-09-26 오후 4:47,PC03,Invalid header received from WCS. (Return Code BF),DCI_LCS             
